Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g237),Error (g303),Error (g59),Error (curve),Error (g86),Reduced Error
458.38,33.296,68.717,5.4554,9.3419e-05,0.28557,0.042522,0.029417,0.029801,0.30918,0.018657,0.11919119706029092
440.77,33.287,69.194,5.4472,8.98e-05,0.28513,0.042603,0.029408,0.029853,0.31143,0.018627,0.11950886432668945
440.77,17.558,70.072,5.4472,8.98e-05,0.28444,0.042398,0.029418,0.029877,0.32439,0.018615,0.12152283634244486
461.23,33.295,69.99,5.4737,9.6938e-05,0.28526,0.042481,0.029431,0.029809,0.33322,0.018649,0.12314112865556452
467.63,34.366,69.043,5.436,9.3492e-05,0.28582,0.042578,0.029385,0.029784,0.34401,0.018668,0.1250404747706413
417.21,33.315,70.857,5.4605,8.891e-05,0.28423,0.042694,0.029406,0.029937,0.34964,0.018571,0.1257463091218605
417.21,33.315,70.857,5.4605,8.8265e-05,0.28422,0.042691,0.029406,0.029937,0.34993,0.018569,0.12579128031360237
432.09,34.073,68.666,5.4248,8.801e-05,0.28526,0.04273,0.029375,0.029869,0.35129,0.018627,0.1261904602098404
421.85,61.51,70.698,5.4649,8.831e-05,0.28491,0.043093,0.029321,0.029891,0.35418,0.018615,0.1266679734963644
438.96,33.53,69.257,5.4422,9.449e-05,0.28519,0.042665,0.029397,0.02986,0.35644,0.018645,0.1270331633695495
