Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g80),Error (g51),Error (g72),Error (curve),Error (g56),Error (g126),Error (g237),Error (g223),Reduced Error
545.45,403.91,64.928,272.33,147.61,77.627,62.574,11.206,0.12077,0.26934,0.13018,0.1101,0.22834,0.023457,0.026425,0.098981,0.11979,1.1273808532170704
541.3,405.51,66.683,272.33,147.16,75.789,62.474,11.141,0.12076,0.26937,0.13017,0.10977,0.23495,0.023447,0.02646,0.0988,0.11975,1.1334763024885488
537.1,404.16,65.76,270.99,141.78,76.51,62.454,11.247,0.12077,0.26943,0.1301,0.10902,0.23744,0.023492,0.026593,0.098689,0.1189,1.1344287787164948
548.1,404.03,64.792,273.01,139.83,66.864,63.467,11.196,0.12098,0.26919,0.13037,0.11051,0.25012,0.023402,0.026673,0.099104,0.11994,1.1502950817545776
535.62,403.92,63.313,271.59,149.05,98.582,62.049,11.166,0.12048,0.26946,0.13004,0.10964,0.26431,0.02344,0.026348,0.09872,0.11824,1.1606748160561782
533.28,403.66,65.712,270.8,148.3,99.889,62.776,11.167,0.12045,0.26945,0.12991,0.1088,0.26641,0.023388,0.026484,0.098508,0.11787,1.161278050206255
542.47,403.64,65.771,272.17,150.14,78.293,63.146,10.789,0.12076,0.26907,0.13043,0.1117,0.25949,0.023395,0.026327,0.099302,0.12093,1.1613929083944594
546.96,383.75,60.618,271.5,151.42,77.474,62.679,11.297,0.12096,0.26909,0.1301,0.11006,0.26303,0.023259,0.026287,0.099468,0.12057,1.1628285203249815
548.06,403.75,63.266,273.11,144.73,75.259,63.346,11.246,0.12083,0.2692,0.13021,0.11005,0.26579,0.023431,0.026548,0.099126,0.11969,1.164871801195297
428.01,383.4,222.05,281.02,0.5647,43.43,77.861,12.181,0.12187,0.25851,0.12819,0.091297,0.29693,0.024523,0.031333,0.10671,0.10997,1.1693389106033354
