Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g72),Error (g101),Error (g95),Error (g240),Error (g207),Error (curve),Error (g262),Error (g287),Reduced Error
433.86,7.3213,87.587,2.2811,0.043698,0.10162,0.086332,0.14238,0.22662,0.10388,0.24405,0.11444,0.1189,1.1819198880940296
434.93,7.264,87.732,2.2777,0.043702,0.10164,0.086479,0.14241,0.22665,0.10398,0.24413,0.11444,0.11892,1.182359345926268
431.52,7.3436,88.062,2.292,0.043716,0.10167,0.085945,0.14228,0.22656,0.10361,0.24601,0.11444,0.11881,1.1830313687788747
431.63,7.3426,88.055,2.2921,0.043716,0.10167,0.08594,0.14228,0.22656,0.10361,0.24609,0.11444,0.11881,1.1831074501458658
431.83,7.3943,87.691,2.2949,0.043708,0.10163,0.085808,0.14225,0.22653,0.10353,0.24663,0.11443,0.1188,1.1833011770454063
432.0,7.346,88.012,2.2771,0.043704,0.10167,0.086505,0.14242,0.22665,0.10398,0.24524,0.11444,0.11892,1.1835290591574672
435.7,7.475,88.189,2.2564,0.0437,0.10171,0.087321,0.14262,0.2268,0.10453,0.24352,0.11446,0.11907,1.1837328770698912
435.29,7.4113,88.259,2.2523,0.043698,0.10173,0.087478,0.14266,0.22683,0.10463,0.24354,0.11447,0.11909,1.1841225933485862
432.53,7.404,88.391,2.2642,0.043706,0.10171,0.087028,0.14254,0.22675,0.10432,0.24472,0.11446,0.119,1.184233609138892
431.51,7.1807,87.994,2.2784,0.043705,0.10167,0.086452,0.1424,0.22664,0.10395,0.24609,0.11444,0.11891,1.1842691029533525
