Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g138),Error (g185),Error (g39),Error (g238),Error (g223),Error (g164),Error (curve),Error (g50),Error (g243),Reduced Error
3097.5,6.9544,409.67,6.8646,0.13028,0.062141,0.11124,0.1551,0.19844,0.12906,0.99792,0.17168,0.07343,2.0292894849163297
3111.6,6.9495,409.85,6.874,0.13075,0.062113,0.11131,0.15509,0.19853,0.12896,1.0059,0.17139,0.073431,2.0375052921296
3130.4,7.0783,414.47,6.8738,0.13181,0.062063,0.11155,0.15504,0.19866,0.12852,1.0102,0.16993,0.073431,2.0412177540940313
3083.6,6.6633,413.27,6.8975,0.12999,0.062246,0.1112,0.15516,0.19866,0.12932,1.0205,0.17296,0.073384,2.053474343262855
3085.2,6.6501,412.95,6.9156,0.13011,0.062268,0.11118,0.15521,0.19882,0.12938,1.0282,0.1736,0.073422,2.062220836582809
3085.7,6.6491,413.98,6.8441,0.12979,0.06218,0.11128,0.15507,0.19832,0.12912,1.0608,0.17118,0.073254,2.090963359445687
3103.1,6.3992,414.56,6.8736,0.13016,0.062222,0.1113,0.15512,0.19853,0.12929,1.0687,0.172,0.07319,2.1004654271990746
3047.5,6.7739,409.01,6.8771,0.12884,0.062296,0.11095,0.15522,0.19858,0.12966,1.1061,0.17436,0.07346,2.1394930771970793
3083.0,6.6576,423.79,6.9259,0.13098,0.062336,0.11145,0.15521,0.19934,0.12909,1.1117,0.17337,0.073383,2.146867265534416
3119.2,6.9513,423.84,6.7407,0.13124,0.061954,0.11188,0.15478,0.19776,0.12794,1.1981,0.16508,0.073049,2.221812435283396
