iteration,cp_tau_s,cp_b,cp_tau_0,cp_n,cp_gamma_0,stress_error,geodesic_error,reduced_error
1,55.592,0.56705,30.023,2.8369,4.4273e-07,0.29766980295002304,0.08871216812048346,0.3259077630875714
2,180.95,0.65937,48.629,3.1537,1.3281e-06,0.048606037413059903,0.08413034511199242,0.07538555799026124
3,186.44,0.59391,52.14,3.9982,1.4498e-06,0.1691791381306327,0.07804868299607651,0.1940228055319086
4,227.22,0.66203,47.852,6.7868,4.3185e-07,0.1654662683398923,0.07384696093037076,0.18897248606865746
5,526.78,0.53993,160.28,13.17,2.8826e-05,0.18618068390758322,0.0723311363917211,0.2092043996999762
6,394.63,0.6347,100.23,11.415,5.0534e-06,0.01933350595136907,0.07302686513314673,0.04257867908026004
7,419.82,0.63922,104.2,15.624,3.6958e-06,0.03614284633959351,0.07298733414552686,0.059375436364314464
8,411.59,0.74208,94.82,15.959,8.6255e-06,0.03488337536883145,0.07321760637289856,0.05818926332003838
9,494.02,0.50636,99.313,12.387,4.517e-06,0.01898557698511553,0.07322518156376737,0.04229387619446573
10,433.23,0.5816,101.5,13.052,4.9721e-06,0.017057344765770862,0.07316344252031269,0.04034599182722591
11,455.66,0.58146,102.25,13.326,8.357e-06,0.025735697795643456,0.07320383647022846,0.049037202650698705
12,478.84,0.50816,99.543,11.785,4.3216e-06,0.016944537526526204,0.07317650067694621,0.040237341128333035
13,482.14,0.50125,99.021,11.356,3.9338e-06,0.019373518127440842,0.07313985466806512,0.04265465694233164
14,396.36,0.62104,103.98,9.4116,1.2331e-05,0.0659622025811589,0.0732324206820832,0.08927280607343628
15,472.28,0.50064,97.9,11.869,3.8087e-06,0.017142341035638973,0.07319439106580153,0.040440839325086124
16,460.86,0.51214,97.893,10.864,4.0147e-06,0.016805677806741255,0.07308302033895415,0.04006872569280141
17,437.44,0.5168,99.471,12.45,2.8377e-06,0.019142128352860888,0.07313049567799089,0.042420288108686366
18,445.22,0.51833,98.917,12.488,2.8929e-06,0.017440478957766254,0.0731449748946595,0.04072324759140154
19,302.32,0.50201,75.631,12.165,7.615e-08,0.04596656565482888,0.07294941828439289,0.06918708668610772
20,449.93,0.5193,98.884,15.039,2.9988e-06,0.024006600555364542,0.07318855572349513,0.0473032413976663
21,454.84,0.51094,99.596,13.087,2.7388e-06,0.016244470884283425,0.07315772485529416,0.039531297956437186
22,465.06,0.50021,100.15,13.338,2.7635e-06,0.015909883333540622,0.0731713944564215,0.0392010615748734
23,535.09,0.50025,107.32,15.897,1.6036e-05,0.029285423697412855,0.07326575002913785,0.05260663625035778
24,447.61,0.55455,95.569,10.085,4.8432e-06,0.021452563028695637,0.07303443677190938,0.04470014628505937
25,468.31,0.50973,101.2,15.953,2.7644e-06,0.013871755114356663,0.07318187402789897,0.03716626910689369
26,472.95,0.50022,100.1,14.985,2.6672e-06,0.013553218849252854,0.07319316141687096,0.03685132572928887
27,460.73,0.51702,98.837,15.315,2.3645e-06,0.015901821515957062,0.0731717233213669,0.03919310443825318
28,443.43,0.52069,103.03,15.98,2.5105e-06,0.014255957224055666,0.07309586259374416,0.03752309292677637
29,479.36,0.50002,100.61,15.499,2.7227e-06,0.013029876883025874,0.07319790357347963,0.03632949323839226
30,432.05,0.55958,104.15,15.982,3.5498e-06,0.01742229174932155,0.07309766227838783,0.04069000030945635
