Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g80),Error (g51),Error (g72),Error (curve),Error (g56),Error (g126),Error (g237),Error (g223),Reduced Error
581.91,394.95,39.744,259.97,144.69,120.79,63.445,11.262,0.12072,0.26903,0.13141,0.11318,0.34437,0.024115,0.026763,0.10158,0.12123,1.2523898696971747
574.59,394.94,38.751,262.58,143.84,120.77,63.591,11.26,0.12081,0.26894,0.13133,0.11294,0.34583,0.024043,0.026816,0.10154,0.12096,1.2531996978412705
576.96,394.64,40.208,259.86,145.77,120.73,63.308,11.209,0.12072,0.26901,0.13137,0.11264,0.3459,0.024093,0.026726,0.10149,0.12131,1.2532658996097883
584.66,394.63,40.332,259.83,146.09,120.71,63.517,11.365,0.12066,0.26906,0.13127,0.113,0.34797,0.024065,0.026761,0.10149,0.12107,1.2553499230610445
586.91,394.61,37.703,260.02,139.56,125.13,63.498,11.368,0.1208,0.26908,0.13152,0.11468,0.34845,0.024188,0.026946,0.10173,0.12061,1.2580033056349977
578.87,394.63,40.263,249.9,151.63,120.64,63.135,11.381,0.12047,0.26936,0.13112,0.11181,0.35246,0.024118,0.026575,0.10125,0.1216,1.2587622824258953
578.18,394.63,40.946,249.89,150.15,121.75,63.135,11.341,0.12049,0.26937,0.13117,0.11182,0.3535,0.024139,0.02661,0.1012,0.12146,1.2597514854523588
577.93,395.26,40.701,246.65,146.45,121.95,63.132,11.34,0.12051,0.2695,0.13132,0.11158,0.35497,0.024248,0.026685,0.10115,0.1212,1.2611789567770748
578.16,393.98,40.702,246.64,149.9,121.84,63.133,11.34,0.12047,0.26946,0.13122,0.11159,0.355,0.024191,0.026598,0.10119,0.12156,1.2612731640306625
578.47,395.32,40.765,246.61,146.65,120.69,63.128,11.34,0.12051,0.2695,0.13133,0.11142,0.35521,0.024248,0.026655,0.10116,0.12131,1.2613485473620631
