param_type,param_name,base,out_l_bound,in_u_bound,in_l_bound,out_u_bound
input,cp_tau_s,10,0,3.2947527219101773,2.3356183493776057,1
input,cp_b,10,0,1.3007258830748203,0.34352675309771724,1
input,cp_tau_0,10,0,2.6814764165313454,-0.20899044316646978,1
input,cp_n,10,0,1.2916130169398792,0.4520472408094248,1
input,average_strain,10,0,-0.5449723176432193,-2.1400335489840763,1
output,average_stress,10,0,3.7493574950696877,2.4508646923797657,1
output,g51_phi_1,10,0,-0.08464238258516822,-0.17082492608291241,1
output,g51_Phi,10,0,0.34968539781031394,0.3176664423565012,1
output,g51_phi_2,10,0,0.5098340085329618,0.47519160195204313,1
output,g56_phi_1,10,0,0.2878465002495176,0.24538927117121048,1
output,g56_Phi,10,0,0.42756724771945037,0.4141540976802072,1
output,g56_phi_2,10,0,0.6887400850625868,0.6473634068595024,1
output,g72_phi_1,10,0,0.7979942199469117,-3.015126289344467,1
output,g72_Phi,10,0,0.4612283217805497,0.4578516312556078,1
output,g72_phi_2,10,0,0.2967967747139551,0.2443760940205719,1
output,g80_phi_1,10,0,0.13177900936918704,0.11112803634512404,1
output,g80_Phi,10,0,0.3223640354391094,0.30882043310995977,1
output,g80_phi_2,10,0,0.6442908451282938,0.6298273810417196,1
output,g126_phi_1,10,0,0.42165327571164346,0.3950116995780944,1
output,g126_Phi,10,0,0.38824333689559587,0.37386787032706803,1
output,g126_phi_2,10,0,0.6982310754491192,0.6786367240937162,1
output,g223_phi_1,10,0,0.6774426926551983,0.6665741356934505,1
output,g223_Phi,10,0,0.4755840301848114,0.46055207286155797,1
output,g223_phi_2,10,0,-0.3510450716581867,-0.4717905675225921,1
output,g237_phi_1,10,0,0.3362995957634174,0.3349360326906689,1
output,g237_Phi,10,0,0.35837273025802063,0.3398090652195195,1
output,g237_phi_2,10,0,0.6205004178372612,0.6129427158869898,1
output,g262_phi_1,10,0,0.18006850090121823,0.13890239993359355,1
output,g262_Phi,10,0,0.39635629264291317,0.3781616095549128,1
output,g262_phi_2,10,0,0.5966300787649824,0.5847042859109842,1
