Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g240),Error (g262),Error (g101),Error (curve),Error (g14),Error (g72),Error (g207),Error (g287),Error (g95),Reduced Error
545.86,63.87,454.09,579.46,370.64,4.353,72.33,4.7674,0.21973,0.1246,0.049258,0.23468,0.048563,0.10257,0.069455,0.1125,0.14095,1.102305849436934
545.69,66.468,461.15,544.31,367.08,4.3424,71.639,4.7603,0.21995,0.12454,0.048945,0.23986,0.048327,0.1023,0.068504,0.11244,0.14087,1.1057318499539992
545.86,63.87,454.09,622.94,370.64,4.353,72.33,4.7674,0.21955,0.12474,0.049277,0.24711,0.048662,0.10284,0.070017,0.11248,0.14098,1.1156617224788032
549.43,62.479,472.67,581.54,370.34,4.7,72.044,4.5949,0.21993,0.12402,0.050053,0.25158,0.048403,0.10251,0.070102,0.11248,0.141,1.120075784152597
543.7,63.928,467.0,579.46,366.0,4.3012,72.185,4.8885,0.21992,0.12486,0.048281,0.2784,0.048401,0.10233,0.067663,0.11243,0.14077,1.1430449792122543
544.6,63.412,451.27,580.27,386.93,3.5297,76.882,4.8214,0.21982,0.12435,0.049443,0.2783,0.048665,0.10283,0.069225,0.11311,0.14112,1.1468604850216577
545.73,64.392,478.12,580.1,393.96,4.4693,73.44,4.8812,0.22019,0.12457,0.048854,0.30238,0.048374,0.10252,0.067393,0.113,0.14091,1.1681963097004178
546.04,64.647,454.13,579.4,370.25,4.2977,73.63,4.775,0.21971,0.12455,0.049153,0.30844,0.048505,0.10256,0.06938,0.11253,0.14089,1.1757258841519114
548.23,59.786,454.03,580.14,362.73,4.5631,73.139,4.7928,0.21963,0.12463,0.049066,0.30935,0.048587,0.10244,0.069366,0.11236,0.14081,1.1762439192294716
545.85,63.966,444.86,580.17,373.25,3.8032,72.997,4.6974,0.21964,0.12441,0.04986,0.30909,0.048728,0.10279,0.070534,0.11265,0.14118,1.1788809285685344
