Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g72),Error (g56),Error (g237),Error (curve),Error (g223),Error (g126),Error (g80),Error (g262),Error (g51),Reduced Error
1419.2,0.18352,124.44,5.5071,0.091348,0.044773,0.098462,0.36197,0.13503,0.030651,0.25517,0.11431,0.13335,1.2650628892749953
1429.9,0.1826,124.45,5.5136,0.088381,0.0447,0.098378,0.36583,0.13492,0.030625,0.25523,0.11433,0.1333,1.2656927952022574
1398.8,0.18464,125.39,5.5433,0.090302,0.044219,0.098409,0.36739,0.13502,0.030627,0.25524,0.1143,0.13324,1.268759590179065
1396.9,0.18787,123.64,5.5061,0.092127,0.044824,0.098474,0.36571,0.135,0.030596,0.25515,0.11431,0.13331,1.269502601490879
1398.8,0.18464,125.46,5.5427,0.090604,0.044223,0.098419,0.36826,0.13503,0.030633,0.25524,0.1143,0.13325,1.2699603452985224
1416.2,0.18297,124.58,5.4956,0.09536,0.044905,0.098563,0.36298,0.13517,0.0307,0.2551,0.11429,0.13342,1.2704918899010806
1429.9,0.18336,124.45,5.5097,0.0888,0.044759,0.098396,0.37364,0.13492,0.03063,0.25521,0.11433,0.13332,1.2739963324226595
1369.4,0.19309,124.79,5.1979,0.11071,0.049198,0.10074,0.34537,0.13662,0.031466,0.25362,0.11404,0.1354,1.2771611664804068
1380.9,0.18666,126.41,5.6034,0.087348,0.043354,0.098272,0.37999,0.13488,0.030575,0.25537,0.11431,0.13312,1.277216268360585
1394.5,0.18476,126.48,5.6039,0.088224,0.043383,0.09821,0.37923,0.13482,0.030574,0.25541,0.11433,0.1331,1.2772821843687359
