Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
1565.8,0.33283,207.46,1.4982,0.18861,0.12224,0.57937,0.1709,0.2551,0.18743,0.20067,0.10665,0.12613,1.9370942857296292
1565.8,0.32754,207.43,1.5049,0.18849,0.12215,0.59328,0.1708,0.2551,0.18727,0.20067,0.1067,0.12608,1.9505506710009473
1565.8,0.34229,205.74,1.5024,0.18853,0.12217,0.60134,0.17078,0.25504,0.18735,0.20066,0.10683,0.12611,1.9588075269490979
1561.3,0.341,205.29,1.5082,0.18843,0.12207,0.6126,0.17068,0.25503,0.18721,0.20065,0.10667,0.12606,1.9693967297776482
1568.1,0.34161,202.26,1.5075,0.18846,0.1221,0.6233,0.17067,0.25501,0.18725,0.20066,0.10693,0.12608,1.98046739668676
1567.9,0.34345,201.71,1.5144,0.18833,0.12199,0.65703,0.17051,0.255,0.1871,0.20062,0.1069,0.12604,2.0135271086480375
1567.6,0.33949,202.78,1.5225,0.18816,0.12186,0.65945,0.17035,0.25504,0.18689,0.20051,0.10701,0.12599,2.015244322977068
1567.9,0.3392,200.38,1.5098,0.18843,0.12207,0.66061,0.17062,0.255,0.18721,0.20066,0.10692,0.12606,2.0175773085577906
1565.8,0.34473,206.25,1.51,0.18839,0.12204,0.66256,0.17063,0.25502,0.18717,0.20063,0.10667,0.12607,2.0191817388919886
1565.1,0.34313,199.95,1.5118,0.18839,0.12202,0.66809,0.17056,0.25498,0.18716,0.20065,0.10691,0.12605,2.024803415511511
