Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g95),Error (g287),Error (curve),Error (g240),Error (g207),Error (g101),Error (g72),Error (g14),Error (g262),Reduced Error
288.37,16.872,77.865,16.954,0.13198,0.11373,0.24099,0.22767,0.03378,0.033118,0.11373,0.052431,0.1433,1.0907307269471334
296.48,16.884,77.581,16.39,0.13201,0.11349,0.26378,0.22769,0.033722,0.033524,0.11361,0.052426,0.14323,1.1134836205174978
292.48,17.332,77.735,16.463,0.13209,0.11352,0.26387,0.22769,0.033653,0.033472,0.11362,0.05247,0.14329,1.1136704885786128
297.2,17.379,77.785,16.429,0.13206,0.11348,0.26565,0.2277,0.0337,0.033549,0.11364,0.052423,0.14333,1.1155195714074841
296.56,16.615,78.25,16.292,0.13196,0.11348,0.27373,0.22766,0.033721,0.033377,0.11354,0.052441,0.14303,1.1229355292259158
290.5,16.617,78.051,16.267,0.13202,0.1135,0.27706,0.22766,0.033634,0.03335,0.11351,0.052512,0.14299,1.1262366057658681
297.07,19.702,77.047,16.435,0.13229,0.11341,0.28625,0.22774,0.033584,0.033919,0.11375,0.052402,0.14381,1.1371561277883206
308.17,19.875,75.835,16.286,0.13222,0.1133,0.28788,0.22776,0.033759,0.034321,0.11388,0.052243,0.144,1.1393607423234393
308.39,19.839,75.835,16.298,0.13221,0.11331,0.28807,0.22776,0.033767,0.034315,0.11388,0.052238,0.144,1.1395499174420463
308.17,20.211,75.428,16.319,0.13226,0.1133,0.28958,0.22778,0.033768,0.034412,0.11393,0.052228,0.14412,1.14138629386142
