Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g72),Error (g56),Error (g237),Error (curve),Error (g223),Error (g126),Error (g80),Error (g262),Error (g51),Reduced Error
1466.0,0.18174,123.08,5.1934,0.10961,0.048411,0.099883,0.29333,0.13632,0.031327,0.25398,0.11421,0.13502,1.222092613927527
1466.0,0.18161,123.08,5.1948,0.10961,0.048389,0.099871,0.2936,0.13632,0.031321,0.25399,0.11421,0.13501,1.2223230580394333
1466.1,0.1816,123.08,5.1948,0.10961,0.048388,0.099871,0.29362,0.13632,0.031321,0.25399,0.11421,0.13501,1.2223403944610125
1472.2,0.18172,122.93,5.1888,0.1097,0.048486,0.099923,0.29464,0.13634,0.031343,0.25396,0.11419,0.13506,1.2236362438658572
1470.5,0.18152,123.47,5.1615,0.10963,0.048788,0.10017,0.29419,0.13648,0.031459,0.2538,0.11415,0.13522,1.2238968897551534
1457.7,0.18114,123.87,5.1894,0.10947,0.048381,0.099935,0.29551,0.13638,0.031367,0.25395,0.11421,0.13503,1.2242332950330954
1467.3,0.1815,123.08,5.1697,0.10963,0.04871,0.10009,0.29545,0.13643,0.031409,0.25385,0.11417,0.13517,1.2249094750800515
1451.3,0.18203,123.63,5.2468,0.10923,0.04733,0.09944,0.2987,0.13608,0.031143,0.25424,0.11432,0.13473,1.2252207653206815
1469.0,0.18197,122.85,5.2098,0.10966,0.048209,0.099733,0.29738,0.13623,0.03126,0.25407,0.11423,0.13492,1.225695079377591
1463.7,0.18022,123.8,5.2045,0.10953,0.048172,0.099823,0.29738,0.13632,0.031317,0.25403,0.11423,0.13494,1.2257522848094091
