Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1500.3,0.17073,124.24,6.4169,0.061295,0.13032,0.19367,0.094112,0.068123,0.054674,0.6021922711273131
1504.4,0.17049,123.66,6.4592,0.061424,0.13028,0.19391,0.093959,0.068084,0.054667,0.6023299940092441
1497.5,0.17193,123.69,6.4448,0.061393,0.13032,0.19386,0.093999,0.068087,0.054674,0.6023397589913442
1500.2,0.17063,124.32,6.4119,0.061279,0.13032,0.19385,0.094131,0.068128,0.054674,0.6023821262476823
1498.3,0.17152,123.48,6.5466,0.061629,0.13015,0.19444,0.093692,0.068031,0.054663,0.6026036284125419
1496.0,0.17096,124.23,6.4272,0.061319,0.1303,0.1943,0.094077,0.068118,0.054675,0.6027854000354541
1499.4,0.1705,124.37,6.3859,0.061213,0.13036,0.19439,0.094215,0.068147,0.054675,0.6029961243262347
1516.0,0.16811,124.68,6.4185,0.061271,0.13026,0.19454,0.094134,0.068138,0.054664,0.6030127226639127
1488.2,0.17253,123.71,6.5537,0.061637,0.13012,0.19491,0.093672,0.068031,0.054669,0.6030406853770418
1496.5,0.17175,124.2,6.3749,0.0612,0.13041,0.19444,0.094241,0.068142,0.054678,0.6031108726684343
