Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g164),Error (g185),Error (g238),Error (curve),Error (g223),Error (g243),Error (g138),Error (g50),Reduced Error
3904.5,0.013127,0.052955,2.6854,0.090937,0.19245,0.11039,0.14873,1.4108,0.88336,0.087509,0.84117,0.28645,4.051825996022357
3904.0,0.012643,0.058327,2.7091,0.090323,0.19265,0.1099,0.14872,1.4632,0.87773,0.08692,0.82791,0.28656,4.083909727143661
3863.0,5.1639,5.0884,8.036,0.10394,0.12445,0.064706,0.14615,2.9431,0.35443,0.077993,0.14465,0.12766,4.087092007271573
3904.7,0.013016,0.052197,2.6756,0.091053,0.19255,0.11063,0.14875,1.4335,0.90068,0.087625,0.84494,0.28695,4.0966427381466515
3901.7,5.4251,1.6781,7.6883,0.10637,0.12378,0.066575,0.14527,2.6309,0.67811,0.082548,0.16313,0.12892,4.125577699829612
3968.8,8.9782,10.722,7.6676,0.10414,0.1187,0.064743,0.15041,3.2801,0.24391,0.080382,0.13262,0.12858,4.3036000566426456
3905.5,0.012512,0.058525,2.7081,0.09027,0.19268,0.10987,0.14872,1.4946,1.1294,0.086874,0.82773,0.28654,4.366740972144788
3932.5,1.323,1.691,6.6641,0.098141,0.13997,0.067954,0.14428,2.7003,0.79632,0.078912,0.19213,0.15664,4.374672111412513
3906.5,0.012885,0.32692,3.1554,0.08638,0.1955,0.11059,0.14921,1.8378,0.98405,0.082212,0.65076,0.31375,4.410202911881042
3926.5,0.013184,0.050316,2.7016,0.090599,0.19165,0.10908,0.14862,1.6614,1.1824,0.087181,0.8357,0.2816,4.5882410734281
