Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g237),Error (g63),Error (g59),Error (curve),Error (g86),Reduced Error
1932.6,0.12973,126.41,7.2101,0.063076,0.091979,0.1292,0.067615,0.15371,0.054808,0.5603919418284332
1937.9,0.13024,126.86,7.1342,0.062909,0.092173,0.12929,0.067648,0.15412,0.054804,0.560942418333546
1937.8,0.12904,126.87,7.1477,0.062923,0.092152,0.12924,0.067657,0.15469,0.054803,0.5614718235646529
1938.7,0.12995,127.04,7.1643,0.062958,0.092115,0.12925,0.067629,0.15479,0.054812,0.5615606249110094
1930.7,0.12942,126.38,7.1818,0.06302,0.092042,0.12921,0.067644,0.15512,0.054798,0.5618391128431626
1936.3,0.12976,125.87,6.9507,0.062545,0.092579,0.12941,0.067816,0.15577,0.054742,0.5628664516650798
1932.3,0.13117,126.72,7.1353,0.062926,0.092151,0.1293,0.06765,0.1564,0.054798,0.5632220641447122
1936.7,0.1293,125.71,7.2033,0.063088,0.091971,0.12923,0.067616,0.15689,0.054802,0.5635980431126286
1932.2,0.12916,125.47,7.3891,0.063456,0.091537,0.12903,0.067503,0.15756,0.054829,0.5639218230851284
1932.4,0.13115,124.87,7.1518,0.063037,0.092035,0.12933,0.067638,0.15731,0.054783,0.5641305300607756
