Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g72),Error (g101),Error (g95),Error (g240),Error (g207),Error (curve),Error (g262),Error (g287),Reduced Error
430.99,7.2387,90.046,2.2216,0.043926,0.1015,0.088755,0.14312,0.22702,0.10539,0.33987,0.11435,0.11874,1.282674016333009
430.5,7.348,90.242,2.2215,0.043928,0.10152,0.088776,0.14312,0.22702,0.1054,0.34087,0.11435,0.11873,1.2837199631622231
430.97,7.4638,90.014,2.2252,0.043919,0.10149,0.088625,0.14308,0.227,0.10531,0.34132,0.11434,0.11872,1.2838024449411376
428.01,7.3217,90.275,2.2239,0.043932,0.1015,0.088671,0.14309,0.227,0.10531,0.34181,0.11435,0.1187,1.284352212256025
431.33,7.2049,90.075,2.2278,0.043927,0.10146,0.088492,0.14305,0.22698,0.10522,0.34342,0.11435,0.11869,1.2855836110287413
430.45,7.5666,89.484,2.2546,0.043908,0.10125,0.087375,0.14277,0.22678,0.10451,0.34653,0.11434,0.11851,1.285974339943792
431.31,7.108,90.248,2.2218,0.043929,0.10151,0.088745,0.14311,0.22702,0.10539,0.34347,0.11435,0.11874,1.286253151676755
431.32,6.8341,90.078,2.2272,0.043928,0.10143,0.08849,0.14305,0.22698,0.10523,0.34428,0.11434,0.1187,1.2864313135702223
419.3,5.104,89.042,2.3145,0.043958,0.10072,0.084691,0.14206,0.22632,0.1027,0.35549,0.11437,0.11798,1.2882768174979784
429.88,7.3797,90.043,2.2044,0.043922,0.10163,0.089488,0.1433,0.22715,0.10586,0.34452,0.11436,0.11887,1.2890813652492659
