Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g223),Error (g39),Error (g138),Error (g164),Error (g238),Error (g185),Error (g243),Error (g50),Reduced Error
950.75,1.4881,211.24,11.065,1.2128,0.22616,0.11109,0.19299,0.1171,0.19292,0.058377,0.08234,0.18383,2.377606795890651
953.96,1.486,207.83,11.077,1.2166,0.2253,0.11144,0.19339,0.11685,0.1933,0.058677,0.082568,0.18356,2.3816977429563693
933.91,1.5047,208.5,10.997,1.2203,0.22489,0.11087,0.19256,0.11765,0.19278,0.058042,0.082084,0.18488,2.384021125472246
954.61,1.4889,205.58,11.04,1.2205,0.22466,0.11144,0.19326,0.11707,0.19322,0.058605,0.082498,0.18389,2.385091292660018
958.23,1.4863,211.3,11.118,1.2238,0.22609,0.11132,0.19338,0.11672,0.19319,0.058665,0.082552,0.18327,2.3890093635676672
949.91,1.4963,211.45,11.071,1.2269,0.22596,0.11102,0.19293,0.11716,0.19289,0.058336,0.082305,0.184,2.391521077656258
950.49,1.4896,211.24,11.022,1.233,0.22612,0.11091,0.19264,0.11743,0.19263,0.058156,0.082154,0.18424,2.3973224939811995
952.55,1.4966,211.12,11.189,1.2354,0.22591,0.11152,0.19379,0.11632,0.19365,0.058944,0.082791,0.18302,2.4013068041770915
949.87,1.5005,212.26,11.1,1.2371,0.22604,0.11104,0.19302,0.11704,0.19296,0.058395,0.082352,0.18388,2.4018763713589113
947.25,1.4939,211.18,10.995,1.2572,0.22594,0.11076,0.19241,0.11767,0.19246,0.057995,0.082021,0.1846,2.421021158214277
