Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g303),Error (g237),Error (g86),Error (curve),Error (g59),Error (g63),Reduced Error
710.4,0.30458,62.623,15.629,5.6546e-05,0.069189,0.077138,0.06999,0.20724,0.060302,0.15431,0.6381789727281325
708.27,0.303,63.67,15.629,5.7443e-05,0.069017,0.077322,0.069981,0.20959,0.060338,0.15423,0.6404825281698834
708.29,0.30725,63.646,15.623,5.7445e-05,0.069052,0.077285,0.069956,0.2103,0.06033,0.15419,0.6411196153623753
708.29,0.32064,61.296,15.623,5.7445e-05,0.069456,0.076841,0.069857,0.2154,0.060261,0.15423,0.6460435537619929
708.23,0.30646,62.013,15.623,5.745e-05,0.069235,0.077076,0.06994,0.21865,0.060301,0.15431,0.6495090015064334
700.17,0.29382,64.472,15.64,5.7447e-05,0.068835,0.077531,0.069979,0.21864,0.06039,0.15414,0.6495228311558283
695.03,0.36212,61.179,15.623,5.7455e-05,0.069831,0.07647,0.069541,0.22136,0.060241,0.15368,0.6511264144652448
708.19,0.29973,62.565,15.623,5.8366e-05,0.069069,0.077246,0.069973,0.22189,0.060329,0.15434,0.6528498413164867
708.21,0.30225,62.128,15.623,5.7302e-05,0.069184,0.077133,0.069968,0.22253,0.060309,0.15434,0.6534668812295239
706.93,0.33671,62.535,15.669,5.9417e-05,0.069452,0.076831,0.06974,0.22367,0.060288,0.154,0.6539752331026052
