Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g138),Error (g185),Error (g39),Error (g238),Error (g223),Error (g164),Error (curve),Error (g50),Error (g243),Reduced Error
3066.5,6.6671,440.21,6.4977,0.14703,0.065788,0.11486,0.16442,0.63115,0.12901,1.6945,0.14418,0.066362,3.157335418002558
3041.1,6.6412,438.82,6.4706,0.14694,0.066156,0.11504,0.16459,0.41975,0.12912,1.9798,0.14372,0.06642,3.231515916775049
3040.8,6.6407,438.8,6.4707,0.14692,0.066163,0.11504,0.16459,0.41804,0.12913,1.9851,0.14373,0.066416,3.2350782235729314
3084.9,6.6687,439.94,6.5009,0.1474,0.065631,0.11501,0.16378,0.80214,0.12899,1.6034,0.14404,0.066393,3.2367719585111807
3044.7,6.5999,438.46,6.4709,0.14743,0.066019,0.11508,0.16454,0.44966,0.12891,1.9758,0.14381,0.066572,3.257861826308712
3060.1,6.6677,439.28,6.4738,0.14764,0.065883,0.11511,0.16417,0.53252,0.12898,1.9039,0.14356,0.066489,3.268261312370348
3041.4,6.6295,438.8,6.4676,0.14721,0.066117,0.1151,0.1646,0.41624,0.12901,2.0443,0.1435,0.066488,3.2925617179402713
3057.2,6.6638,438.99,6.4697,0.14768,0.065916,0.11513,0.16416,0.50876,0.129,1.9726,0.14356,0.066507,3.3133168465252933
3061.2,6.6538,440.88,6.4985,0.14694,0.065837,0.11494,0.16476,0.61247,0.12888,1.8929,0.1435,0.066356,3.3366082553001215
3043.9,6.6346,436.7,6.4705,0.14686,0.066116,0.11485,0.16395,0.48193,0.12949,2.0233,0.14546,0.066406,3.33835250936648
