Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g223),Error (g39),Error (g138),Error (g164),Error (g238),Error (g185),Error (g243),Error (g50),Reduced Error
29.744,1.7889,444.89,16.516,1.2717,0.27867,0.12109,0.13601,0.1582,0.15704,0.08731,0.047604,0.097367,2.3549620241978335
30.494,1.8518,439.57,16.508,1.2832,0.42613,0.12092,0.13229,0.1579,0.15675,0.086575,0.047993,0.097596,2.509309464080851
27.581,0.25515,496.76,14.365,1.3829,0.24281,0.12307,0.18911,0.15226,0.1706,0.090077,0.051286,0.11484,2.516969314462381
28.768,1.6486,423.51,15.128,1.2636,0.44798,0.12137,0.14068,0.16076,0.15787,0.090274,0.047115,0.1007,2.530373113276407
30.385,1.6706,446.9,16.218,1.3104,0.47767,0.12133,0.1374,0.15887,0.15764,0.088833,0.047488,0.097232,2.596858734228102
31.096,0.30159,436.69,13.24,1.4657,0.27916,0.1218,0.16063,0.15095,0.17278,0.084441,0.051909,0.12074,2.608171025513705
29.824,0.31237,469.51,13.452,1.4241,0.31792,0.12191,0.168,0.1528,0.17078,0.088285,0.050763,0.11711,2.6116799299435534
30.957,1.7399,443.91,16.544,1.2933,0.5698,0.12115,0.13319,0.15781,0.1573,0.087048,0.047914,0.096595,2.664063732421543
31.968,2.2567,497.56,18.999,1.5113,0.37566,0.12067,0.13036,0.15449,0.15428,0.083433,0.048722,0.093292,2.6722263457055337
32.398,0.32944,424.48,13.979,1.5792,0.25871,0.12262,0.15852,0.14761,0.17425,0.079522,0.053033,0.11854,2.692025210277252
