Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
914.6,2.7068,190.32,1.8968,0.0,0.0
922.63,2.7284,189.95,1.8746,0.0,0.0
905.35,2.6882,187.9,1.897,0.0,0.0
916.66,2.7199,187.04,1.8834,0.0,0.0
915.27,2.7018,188.56,1.8713,0.0,0.0
914.66,2.7344,192.43,1.8999,0.0,0.0
920.36,2.7235,188.07,1.8806,0.0,0.0
909.34,2.6981,187.93,1.8771,0.0,0.0
919.46,2.7401,191.93,1.9192,0.0,0.0
900.5,2.6785,206.16,1.412,0.0,0.0
