Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
878.97,0.50214,157.44,2.8649,0.15401,0.40926,0.24805,0.093755,0.1798,0.17846,0.072244,0.15755,0.10255,1.5956874393754745
879.2,0.50203,157.45,2.8683,0.15397,0.4094,0.24806,0.09377,0.17976,0.17848,0.072218,0.1575,0.10253,1.5956920793508695
879.09,0.50214,157.58,2.8633,0.15403,0.40926,0.24805,0.093747,0.17982,0.17846,0.072258,0.15757,0.10257,1.5957616184370431
899.17,0.49332,156.92,2.8783,0.15386,0.4104,0.24799,0.09378,0.17957,0.17852,0.072142,0.15738,0.10246,1.5961021164243883
878.92,0.50212,157.88,2.8629,0.15404,0.40977,0.24806,0.093745,0.17984,0.17846,0.072263,0.15758,0.10257,1.5963232324260421
876.46,0.5022,157.63,2.8662,0.15399,0.41,0.24808,0.093765,0.1798,0.17847,0.072233,0.15753,0.10255,1.5964181516218034
891.79,0.49745,157.53,2.8675,0.154,0.41097,0.248,0.093742,0.17973,0.17847,0.07223,0.15752,0.10254,1.5972100701457652
871.35,0.50676,157.44,2.8619,0.15405,0.41072,0.24806,0.093754,0.17985,0.17845,0.072269,0.15759,0.10258,1.5973152044857346
879.18,0.50259,157.88,2.865,0.15401,0.41088,0.24806,0.093754,0.17981,0.17847,0.072248,0.15755,0.10256,1.597340847154277
875.75,0.50186,157.45,2.8669,0.15397,0.41125,0.24808,0.09377,0.17979,0.17847,0.072224,0.15752,0.10254,1.5976266325516795
