Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g238),Error (g39),Error (g138),Error (g243),Error (g164),Error (g50),Error (curve),Error (g185),Error (g223),Reduced Error
634.29,0.58811,140.63,8.8871,0.1592,0.11924,0.1244,0.056815,0.14009,0.12008,0.25843,0.070646,0.37396,1.4228624297706483
622.83,0.59998,142.35,8.8636,0.15939,0.11893,0.12442,0.056867,0.14003,0.12169,0.24878,0.070429,0.38827,1.4288160231830416
631.87,0.5805,142.23,8.7883,0.1594,0.11899,0.12452,0.056959,0.13984,0.12132,0.24831,0.070452,0.39321,1.4330111559397605
625.56,0.60029,140.8,8.7899,0.15933,0.1191,0.12463,0.05698,0.13984,0.12075,0.2668,0.070469,0.37512,1.4330317202366674
625.43,0.59855,140.79,8.7882,0.15934,0.11909,0.12463,0.05698,0.13985,0.12081,0.26559,0.070476,0.37634,1.4331097449313779
625.51,0.59982,140.79,8.7875,0.15934,0.1191,0.12464,0.056983,0.13984,0.12076,0.26662,0.07047,0.37544,1.43318632568472
626.08,0.59915,140.79,8.7774,0.15934,0.11911,0.12466,0.056996,0.13981,0.12072,0.26766,0.070465,0.37451,1.4332694241836372
625.0,0.5911,143.59,8.8877,0.15945,0.11884,0.12429,0.05681,0.1401,0.12226,0.24378,0.070418,0.39752,1.433451702703638
625.09,0.58901,143.55,8.8858,0.15946,0.11883,0.12429,0.056812,0.1401,0.12231,0.24235,0.070425,0.39931,1.4338773137240235
630.32,0.5841,143.43,8.8869,0.1594,0.11891,0.12429,0.056802,0.14008,0.12187,0.24405,0.070452,0.39874,1.4345903589838758
