iteration,cp_lh_0,cp_lh_1,cp_tau_0,cp_n,stress_error,geodesic_error,reduced_error
1,364.1468366994024,892.2630642159467,431.99510818077533,4.529330256689139,2.491897612802722,0.09599627773915623,2.5224541770439406
2,504.24442746969464,243.28313509578632,196.44641026466795,2.1709002311137877,0.6987991892715055,0.1064509265019104,0.7326835715704877
3,796.4428457194679,456.90342329640714,316.1057180084108,18.03333746741795,2.5025735564053604,0.19280660996738117,2.56394580647956
4,707.6458405144272,531.1452332902425,453.20519324422713,13.565757276303424,3.329553690298249,0.19947047899456405,3.393047115764035
5,114.14197115215683,868.7168886576552,250.3692338371654,9.337362585916063,1.1022637093238326,0.09496062204945858,1.1324906141203377
6,434.4036810613725,28.75100818531562,43.233758920177145,16.92896962726614,0.12592170826641766,0.0969990364969899,0.15679746053371188
7,185.59891607985782,321.6048092696617,102.3563604221488,6.845621018187122,0.09490877631872083,0.09303625808138132,0.12452313703957109
8,916.1935919400411,741.4379314002507,168.61449066328422,12.626695800269054,1.6265607356058096,0.0927927089647952,1.6560975722350793
9,264.95,48.276,71.901,10.802,0.11094762026038928,0.0922957688555453,0.14032627594004335
10,312.57,74.735,75.012,11.771,0.015585181618139666,0.09280605852718055,0.045126267545092726
11,302.1,48.538,76.921,13.053,0.019700162352326717,0.0932812790785777,0.0493925156789072
12,311.79,88.251,74.716,12.302,0.014899024624861278,0.09288933212991007,0.04446661736282129
13,305.25,41.48,76.298,15.126,0.01790940178462169,0.09394512221636708,0.047813062944835796
14,288.37,16.872,77.865,16.954,0.031216766864059,0.09455419439656979,0.061314301720631154
15,316.82,87.417,74.688,12.298,0.011979124018858636,0.09293402157337408,0.04156094184848129
16,330.24,47.127,76.257,10.872,0.021640842089113464,0.0928094596588877,0.05118301062991312
17,438.63,4.026,63.818,9.07,0.09198712694178256,0.09379862547198753,0.12184415673996692
18,328.5,40.441,74.431,9.9033,0.01262090153775367,0.09258752266166173,0.04209242533822636
19,910.35,0.089134,43.699,1.4053,0.19404817832755908,0.11820543976931437,0.23167413840683446
20,314.29,83.022,74.901,14.419,0.014862107629121282,0.09353030886172291,0.044633729597631094
21,331.86,40.454,74.808,9.7587,0.011733989873970879,0.09256872346283351,0.04119952970360421
22,317.66,102.76,74.238,11.631,0.01233328026442033,0.09270701509099265,0.04184283968647316
23,329.04,2.1553,72.499,15.487,0.016574555378456063,0.09457604105876413,0.04667904424358479
