Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g238),Error (g39),Error (g138),Error (g243),Error (g164),Error (g50),Error (curve),Error (g185),Error (g223),Reduced Error
336.75,1.4289,97.113,11.34,0.15529,0.11561,0.12042,0.056271,0.14943,0.14438,1.2448,0.083974,0.67981,2.7500022992167428
309.93,2.8806,94.274,3.7561,0.17318,0.11244,0.16399,0.072569,0.11545,0.1594,1.2305,0.059612,0.70975,2.7969102791303575
306.63,2.6872,92.835,3.7979,0.17278,0.11267,0.16318,0.072254,0.11599,0.15813,1.2524,0.059625,0.71439,2.821450721321557
328.57,1.8176,94.271,3.6154,0.17406,0.11334,0.16447,0.072815,0.11452,0.15557,1.3181,0.059204,0.68067,2.852694082229246
312.6,3.1074,92.242,3.815,0.17265,0.11254,0.16363,0.072329,0.11592,0.15865,1.2237,0.059658,0.77501,2.8541082330340344
310.02,3.1566,92.745,3.8316,0.17254,0.11248,0.16342,0.072264,0.11606,0.15882,1.2101,0.059688,0.79378,2.8591449956244857
312.94,3.2695,90.685,3.798,0.17282,0.11246,0.16419,0.072519,0.1157,0.15919,1.234,0.059645,0.78775,2.878271164859122
319.93,1.9009,91.144,12.48,0.15557,0.11496,0.11972,0.056615,0.14977,0.14684,1.7024,0.086787,0.3477,2.880403556701612
297.9,2.9489,99.003,3.6919,0.17398,0.11189,0.16469,0.073058,0.11468,0.16243,1.3492,0.059671,0.67349,2.8831165754611825
308.95,2.8802,92.93,3.8995,0.17191,0.11278,0.1621,0.071749,0.11683,0.15693,1.2107,0.059755,0.83149,2.894200201877821
