Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g95),Error (g287),Error (curve),Error (g240),Error (g207),Error (g101),Error (g72),Error (g14),Error (g262),Reduced Error
331.86,40.454,74.808,9.7587,0.13178,0.11063,0.30899,0.2224,0.040921,0.034187,0.10796,0.050769,0.13945,1.1470807976125603
331.88,40.508,74.814,9.7361,0.13177,0.11063,0.30935,0.22238,0.040967,0.034171,0.10795,0.050761,0.13941,1.1473877430688266
331.87,40.508,74.79,9.7365,0.13177,0.11063,0.30942,0.22238,0.040967,0.034172,0.10795,0.05076,0.13941,1.1474584510309487
332.11,39.545,74.717,9.7246,0.13177,0.11064,0.30942,0.22238,0.040994,0.034204,0.10793,0.050763,0.13939,1.147476914503274
331.93,40.664,74.798,9.7356,0.13177,0.11063,0.30952,0.22238,0.040971,0.034167,0.10796,0.050758,0.13941,1.147560052159742
332.49,40.342,74.81,9.8097,0.13178,0.11065,0.30941,0.22243,0.040826,0.034229,0.10801,0.050784,0.13954,1.1476568657190582
331.12,39.812,75.117,9.8174,0.1318,0.11065,0.30965,0.22243,0.040769,0.034223,0.10794,0.05081,0.13949,1.1477609207152535
329.85,39.834,75.129,9.7781,0.1318,0.11064,0.30983,0.2224,0.040826,0.034183,0.10788,0.050804,0.13941,1.1477787380434363
332.03,40.451,74.815,9.7066,0.13177,0.11062,0.30983,0.22236,0.04103,0.034157,0.10793,0.050751,0.13936,1.1478041161352448
332.04,40.461,74.8,9.7061,0.13177,0.11062,0.30985,0.22236,0.041032,0.034157,0.10793,0.05075,0.13936,1.1478343284523829
