Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
1008.1,0.43319,169.29,3.1096,0.15217,0.32618,0.24754,0.093282,0.17672,0.17925,0.071401,0.15571,0.10163,1.503881823142165
1008.2,0.43684,169.33,3.1047,0.15224,0.32931,0.24748,0.093266,0.17674,0.17923,0.071442,0.15578,0.10167,1.5071611216341438
1007.6,0.43709,167.82,3.1041,0.15223,0.3295,0.24745,0.093262,0.17671,0.17923,0.071427,0.15577,0.10165,1.5072278104652321
1005.3,0.42296,164.2,3.2082,0.15114,0.33428,0.24771,0.093471,0.17575,0.17957,0.070795,0.15444,0.10098,1.508141057068869
1007.3,0.43816,169.58,3.1008,0.15228,0.33161,0.24747,0.093257,0.17677,0.17921,0.071468,0.15583,0.1017,1.5096055646936923
999.13,0.44729,169.08,3.0912,0.1524,0.34711,0.24738,0.093224,0.17681,0.17917,0.071532,0.15595,0.10175,1.525330530546816
994.48,0.44273,161.67,3.1326,0.15189,0.35214,0.24733,0.093304,0.17625,0.17932,0.07119,0.15534,0.1014,1.5281760057014824
1004.1,0.43893,160.9,3.1645,0.15161,0.35623,0.24734,0.093372,0.17592,0.17942,0.071022,0.15497,0.10121,1.53108375860432
1006.2,0.44738,164.98,3.1085,0.15223,0.35611,0.24725,0.093249,0.17651,0.17922,0.071403,0.15572,0.10161,1.5332949804897735
1096.2,0.35639,169.87,3.2617,0.15061,0.36277,0.24854,0.093636,0.17584,0.17981,0.070548,0.15371,0.1008,1.5362695422960306
