Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g240),Error (g262),Error (g101),Error (curve),Error (g14),Error (g72),Error (g207),Error (g287),Error (g95),Reduced Error
587.83,34.649,228.95,579.47,348.22,3.3934,78.701,5.8855,0.2178,0.12871,0.044082,0.45314,0.052995,0.10398,0.073144,0.11247,0.14178,1.3280978903403766
587.56,39.114,239.79,582.51,362.33,3.4008,77.937,5.9084,0.21788,0.12866,0.044382,0.47107,0.052929,0.1041,0.073127,0.11262,0.14198,1.346757182246412
586.79,34.013,234.81,575.67,348.65,3.3854,79.247,5.9272,0.2178,0.12869,0.043959,0.47375,0.052963,0.10395,0.072817,0.11255,0.14174,1.34821309128388
588.47,35.442,229.23,282.14,348.34,3.2389,77.036,6.2177,0.21944,0.12992,0.044077,0.47534,0.055559,0.10469,0.069982,0.11202,0.14154,1.3525760108714184
588.56,35.411,229.36,536.84,360.95,3.2837,78.225,6.224,0.21802,0.12961,0.043365,0.48,0.053475,0.10453,0.071786,0.11254,0.14173,1.3550506344917246
589.13,35.638,222.57,281.9,348.17,3.218,75.683,6.1716,0.21945,0.12993,0.044346,0.48891,0.055593,0.1047,0.07037,0.11194,0.14164,1.3668768921245402
588.02,32.389,227.9,276.24,348.48,3.1866,78.53,6.1496,0.21944,0.1296,0.044678,0.49092,0.055682,0.10456,0.070364,0.11214,0.14163,1.3690234903335725
587.24,34.519,234.64,276.35,362.0,3.2557,77.794,6.3776,0.21964,0.13013,0.044131,0.49237,0.05567,0.10497,0.069249,0.11245,0.14172,1.3703429716221465
597.72,34.787,232.9,294.69,348.6,3.2179,76.226,6.1736,0.21928,0.12972,0.044576,0.49586,0.055309,0.10459,0.07043,0.11208,0.14166,1.3735013271020047
588.64,36.336,326.23,268.08,347.13,3.087,78.457,6.0427,0.2194,0.12838,0.044968,0.52411,0.054379,0.10397,0.068821,0.11259,0.14169,1.3982990503670378
