Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1704.8,0.1482,125.63,6.3048,0.060953,0.13042,0.12902,0.094538,0.06834,0.054618,0.5378909404869741
1710.6,0.14767,125.47,6.3022,0.060949,0.13042,0.1293,0.094544,0.068342,0.054619,0.5381743044573741
1704.9,0.14824,125.63,6.3591,0.061071,0.13032,0.12955,0.094371,0.0683,0.054609,0.5382210954888836
1799.1,0.14042,125.59,6.4006,0.061137,0.1302,0.12982,0.094254,0.068253,0.054603,0.538265868438345
1703.1,0.1482,125.81,6.3207,0.060985,0.13038,0.12972,0.094494,0.068333,0.054613,0.5385319457140066
1703.8,0.14823,125.63,6.359,0.061071,0.13032,0.12991,0.094372,0.068303,0.054609,0.5385847104563746
1692.9,0.14974,126.01,6.3016,0.060943,0.13044,0.13006,0.09455,0.068331,0.054616,0.5389393682471914
1705.0,0.14827,125.67,6.3799,0.061116,0.13028,0.13039,0.094308,0.068283,0.054607,0.5389857953991964
1702.3,0.14827,125.92,6.3587,0.061065,0.13031,0.13065,0.094379,0.068306,0.054606,0.5393133620629058
1703.7,0.1481,125.64,6.3048,0.060953,0.13041,0.13051,0.094541,0.068344,0.054618,0.5393787334085647
