Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
1660.0,0.31004,202.6,1.5664,0.18738,0.121,0.41528,0.16977,0.25558,0.18572,0.20131,0.10469,0.12558,1.7663057080922413
1653.5,0.315,202.73,1.5736,0.18719,0.12086,0.44559,0.16958,0.25556,0.18553,0.20114,0.10477,0.12551,1.7957244830637025
1660.7,0.31655,202.85,1.5591,0.18755,0.12111,0.44483,0.16989,0.25551,0.18591,0.20137,0.10422,0.12565,1.7960426490279326
1582.7,0.3216,202.78,1.5671,0.18727,0.12096,0.46513,0.16979,0.25563,0.18558,0.20092,0.10437,0.12548,1.815126193840982
1580.8,0.3209,203.56,1.5632,0.18737,0.12104,0.46499,0.1699,0.25564,0.18568,0.20086,0.10449,0.12552,1.815490641892774
1576.5,0.3236,203.74,1.5575,0.1875,0.12114,0.46453,0.17002,0.25562,0.18583,0.20082,0.10476,0.12557,1.815787582468191
1576.5,0.32319,203.71,1.5575,0.18751,0.12115,0.46456,0.17002,0.25562,0.18583,0.20082,0.10476,0.12557,1.8158331164768142
1580.7,0.32171,203.12,1.5711,0.18716,0.12089,0.46812,0.16971,0.25565,0.18548,0.20123,0.10431,0.12545,1.8179995713122798
1574.5,0.32336,204.37,1.5558,0.18755,0.12119,0.46654,0.17007,0.25563,0.18587,0.20079,0.10483,0.12559,1.8180606162481234
1579.3,0.32172,203.11,1.5709,0.18717,0.12089,0.46832,0.16972,0.25565,0.18548,0.20125,0.10431,0.12545,1.818219526943518
