Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1977.8,0.16915,151.55,6.0725,0.12959,0.10072,0.060378,0.033762,0.11104,0.404,0.13368,0.21846,0.04712,1.2387414635528404
1974.0,0.16978,150.37,5.9475,0.1295,0.1006,0.060906,0.034339,0.11099,0.40397,0.1338,0.21841,0.046807,1.2393152673973131
1982.8,0.16837,150.06,6.0058,0.12955,0.10063,0.060656,0.034037,0.11101,0.41163,0.13373,0.21844,0.046988,1.246673260242628
1969.8,0.17179,149.51,6.0514,0.12977,0.10076,0.060323,0.033885,0.11095,0.41387,0.1338,0.21841,0.04688,1.2486620764575769
1975.5,0.16891,150.17,6.0512,0.12964,0.10071,0.060405,0.033828,0.11101,0.41434,0.13372,0.21845,0.047045,1.2491328702561455
1977.3,0.17056,150.93,6.1061,0.12972,0.10077,0.060177,0.033648,0.11101,0.41612,0.13371,0.21844,0.04708,1.2506811138196272
1963.5,0.17273,150.18,5.9217,0.12954,0.10056,0.06098,0.034522,0.11097,0.41826,0.13386,0.21839,0.046696,1.2537876953757725
1966.9,0.16882,151.37,6.2496,0.12987,0.10079,0.059498,0.033051,0.11107,0.42132,0.13358,0.21852,0.047371,1.2550760242647543
1979.5,0.17131,149.9,5.8796,0.12943,0.10047,0.061269,0.034732,0.11099,0.42193,0.13385,0.2184,0.046674,1.2577389910681305
1912.7,0.17529,150.18,6.092,0.12994,0.1009,0.059884,0.033671,0.11094,0.42357,0.13385,0.21838,0.046784,1.2579129784932968
