Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g126),Error (g223),Error (curve),Error (g80),Error (g72),Error (g56),Error (g237),Error (g262),Reduced Error
170.73,0.9134,148.94,1.017,0.18448,0.19749,0.3575,1.0625,0.27068,0.48115,0.12472,0.17709,0.11846,2.9740214121041393
180.83,0.93233,147.15,1.0974,0.18268,0.19463,0.50853,1.0486,0.27026,0.3966,0.12416,0.17571,0.11814,3.0193119508552035
173.24,0.82538,166.62,1.0415,0.1837,0.19678,0.30733,1.1387,0.27134,0.5248,0.12453,0.17686,0.1184,3.0424258026570463
172.92,0.974,155.48,1.0877,0.18321,0.195,0.77674,1.2691,0.27009,0.41915,0.12433,0.17633,0.11816,3.5321313659750606
176.48,0.89772,156.06,1.0646,0.18336,0.19578,1.0138,1.0206,0.27067,0.45501,0.12439,0.17639,0.11829,3.5583047041389446
195.87,0.88272,153.96,1.0882,0.18247,0.19423,0.55706,1.5614,0.27071,0.42271,0.12409,0.1754,0.11822,3.606336684448331
188.36,0.71363,160.01,1.0639,0.18248,0.19606,0.53602,1.5237,0.272,0.50912,0.1242,0.17581,0.1183,3.6377315518197655
183.75,1.1693,152.21,17.65,0.18042,0.18198,1.1909,1.3928,0.2851,0.13329,0.1398,0.11229,0.13359,3.750181097678777
195.05,0.88456,156.44,1.3716,0.17731,0.18973,0.84613,1.6299,0.26992,0.23917,0.12267,0.1715,0.11743,3.763811221735257
329.48,7.9543,5.5605,14.757,0.17744,0.24997,0.26572,2.2641,0.26582,0.27424,0.12285,0.12586,0.11895,3.864922684889609
