Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
2000.0,0.16843,152.1,5.9772,0.12973,0.10109,0.060012,0.033734,0.11074,0.35639,0.13387,0.21857,0.046949,1.1910945261713155
1999.4,0.16834,151.58,6.0129,0.12984,0.10117,0.059803,0.03359,0.11072,0.35817,0.13388,0.21856,0.046979,1.1927001263410875
1999.9,0.16889,152.27,5.9868,0.12976,0.10111,0.059963,0.033706,0.11074,0.35953,0.13388,0.21856,0.046949,1.1941935003428632
1996.9,0.1691,151.62,5.9479,0.1297,0.10101,0.060159,0.033867,0.11072,0.35944,0.1339,0.21856,0.046896,1.1942517860024524
2000.0,0.16764,152.23,5.9766,0.1297,0.1011,0.060015,0.033716,0.11076,0.35955,0.13385,0.21858,0.046976,1.1942612486988264
2000.0,0.16907,152.11,5.9891,0.12978,0.10111,0.059948,0.033702,0.11073,0.35987,0.13388,0.21856,0.046942,1.1945225757808189
1997.0,0.16895,152.34,5.9898,0.12977,0.10112,0.059941,0.033691,0.11073,0.3599,0.13388,0.21856,0.046956,1.194552912074085
1998.0,0.16736,152.23,6.0627,0.12991,0.10127,0.059531,0.033365,0.11074,0.36087,0.13383,0.21858,0.047061,1.1951650471827286
1998.0,0.16731,152.37,6.0824,0.12995,0.10131,0.059424,0.033287,0.11074,0.36168,0.13383,0.21858,0.047081,1.19588082241108
2000.0,0.16763,152.56,6.0804,0.12995,0.10131,0.059445,0.033305,0.11075,0.36172,0.13383,0.21857,0.047071,1.1959372995255002
