iteration,cp_lh_0,cp_lh_1,cp_tau_0,cp_n,stress_error,geodesic_error,reduced_error
1,807.3167438366468,195.43580766517724,175.81985940133555,10.42099893792591,1.4087089907774712,0.09280287696451645,1.4382490639815748
2,420.38825851208094,541.2702956385356,6.795682578965165,3.791513010515734,0.3672705313645677,0.09736909758992739,0.3982640777362359
3,737.6337757197795,857.5543498389986,64.4608923222501,6.339037707715056,0.6361845308776718,0.093408191019664,0.6659172815297748
4,209.28772774287177,990.0314053466585,222.2998460414827,17.09275613809404,1.0997830490845615,0.16775104525668671,1.1531798652074294
5,912.9229357208991,492.0386283748307,356.4889160682159,18.33485132756047,2.9337968468955515,0.1696385686756833,2.9877944803830894
6,369.65506684273646,371.50622828844826,468.85816626195884,2.4577680050593127,2.2116096999602823,0.1038605251401748,2.24466953189664
7,517.6402577710522,672.6778043217319,383.436016293928,11.975154661831525,2.60194085710771,0.1961448881113123,2.6643757141179543
8,118.94332089296321,107.54852475544816,285.5393053049694,15.21152290673387,1.2951981530259424,0.1741005948461963,1.3506160935559655
9,48.034,744.79,48.561,5.6153,0.5392217448287654,0.10673993571050107,0.5731981216160401
10,252.97,726.09,73.929,3.9813,0.08639036185057793,0.09830319752925668,0.11768124146761831
11,259.82,630.3,90.612,2.6689,0.07189416782485474,0.10298578515681413,0.10467556137666856
12,352.72,979.14,76.235,3.597,0.09150021152353298,0.09966283430119158,0.12322387696669926
13,307.37,901.35,74.54,2.1515,0.12074349142587708,0.10801778014122683,0.1551266187284567
14,335.5,810.47,82.27,2.3282,0.03010685743845197,0.10600654211372931,0.06384978779341036
15,331.85,805.72,85.944,2.5659,0.01597513108615701,0.10412566828380607,0.049119360706386464
16,324.64,795.01,86.187,2.5153,0.009555312282103826,0.10451664916541621,0.04282399498225864
17,319.85,786.76,84.743,2.7518,0.015379595776594314,0.10279035092952252,0.04809878068176253
