Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g56),Error (g80),Error (curve),Error (g223),Error (g237),Error (g72),Error (g262),Error (g126),Reduced Error
178.99,529.16,63.706,11.074,0.1262,0.024675,0.26835,0.30692,0.13347,0.099025,0.11507,0.1202,0.027034,1.2209385361706477
180.75,531.74,63.512,11.104,0.12611,0.024555,0.26834,0.31666,0.13335,0.098978,0.11543,0.12011,0.027007,1.2305489229048565
179.64,532.78,63.397,11.558,0.12562,0.024739,0.26844,0.31859,0.13338,0.098849,0.11516,0.11997,0.027182,1.2319297876990751
179.98,544.77,63.4,11.589,0.12575,0.024733,0.26845,0.31934,0.13354,0.099107,0.11509,0.12002,0.027129,1.2331472265881498
179.05,532.15,63.292,11.314,0.12595,0.024718,0.26841,0.32167,0.13349,0.099004,0.11535,0.1201,0.02709,1.235771818462219
177.39,541.76,63.952,11.596,0.12583,0.024946,0.26848,0.32333,0.1337,0.099117,0.11429,0.12014,0.027201,1.2370523000916687
180.25,541.65,63.531,11.732,0.12552,0.02475,0.26846,0.32416,0.13341,0.098944,0.11494,0.11992,0.027204,1.2373059240805735
179.1,541.09,63.317,11.652,0.12566,0.024807,0.26847,0.32441,0.13355,0.099051,0.11508,0.12001,0.027172,1.238211006372418
178.99,538.96,63.95,11.936,0.12527,0.02493,0.26848,0.3291,0.13338,0.09887,0.11422,0.11986,0.02733,1.2414408730526536
172.77,580.18,63.814,11.939,0.12628,0.025488,0.26866,0.32758,0.13469,0.10013,0.11127,0.12057,0.027138,1.241806054889437
