Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
1949.2,2.6187e-11,2.2507,19.809,0.13382,0.14967,0.99741,0.14307,0.27174,0.18805,0.40385,0.47111,0.16184,2.920559212742609
1612.7,2.2856e-11,2.1881,19.782,0.13315,0.14984,0.98653,0.14284,0.27158,0.18809,0.40841,0.48013,0.16097,2.921541718062902
1613.0,2.2656e-11,2.2041,19.98,0.13333,0.14948,0.98356,0.14248,0.27122,0.18801,0.40622,0.49174,0.16077,2.9268016025869055
1644.0,2.5347e-11,2.1992,19.808,0.13298,0.15004,0.99613,0.14308,0.27183,0.18811,0.4091,0.47561,0.16116,2.928040969320559
1673.5,2.5088e-11,2.2555,19.821,0.13346,0.14945,1.0095,0.14273,0.27147,0.18788,0.40548,0.46867,0.16114,2.9298007941068245
1919.5,3.5333e-11,2.3543,19.986,0.13363,0.14946,1.0355,0.14314,0.2719,0.18773,0.40247,0.45168,0.1619,2.9374020784420884
1448.6,2.5347e-11,2.1992,19.808,0.1325,0.15003,1.0112,0.14296,0.27176,0.18801,0.41409,0.47431,0.16067,2.9455232496339225
1612.7,1.9989e-11,2.2039,19.985,0.13368,0.14909,1.0007,0.14211,0.27081,0.18795,0.40385,0.50195,0.16059,2.950762344033774
1973.6,7.383e-11,2.5125,19.962,0.13242,0.15036,1.0674,0.14462,0.27348,0.18753,0.4133,0.41904,0.16286,2.950969319726424
1981.8,6.3978e-11,2.5132,19.958,0.1329,0.14991,1.0777,0.14419,0.27302,0.18745,0.40943,0.41745,0.1627,2.9546952021226103
