Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (g63),Error (g59),Error (curve),Error (g86),Reduced Error
131.5,3.9163,149.81,5.3221,0.10925,0.055716,0.12337,0.074276,2.0022,0.054667,2.4195099050791695
130.61,3.896,149.85,5.1223,0.11096,0.055618,0.12439,0.074745,2.0046,0.055056,2.4253606360861752
125.57,3.8029,151.12,5.1574,0.11075,0.055659,0.12386,0.074851,2.0087,0.054865,2.428721326747926
135.33,3.52,150.76,5.2866,0.10882,0.055625,0.12332,0.0744,2.0539,0.054588,2.4706091927510907
143.82,6.6134,128.75,5.5534,0.10984,0.056043,0.12339,0.073749,2.0823,0.055312,2.5005936275635574
146.75,6.6746,129.28,5.4138,0.11105,0.055985,0.12429,0.073915,2.082,0.055616,2.5028694892166783
146.18,6.7302,129.62,5.3645,0.11155,0.055985,0.12461,0.074026,2.0841,0.055719,2.5060358517444774
148.84,6.7084,129.09,5.4271,0.11095,0.055983,0.12428,0.07382,2.0856,0.055632,2.5062968686142653
146.2,6.7554,129.56,5.3585,0.11163,0.055988,0.12465,0.074039,2.0854,0.055738,2.5074855982609767
143.93,7.6124,128.8,5.5285,0.11117,0.056144,0.12407,0.073587,2.1027,0.055666,2.523360349327742
