Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g243),Error (g223),Error (g238),Error (g185),Error (g138),Error (g164),Error (g50),Error (curve),Reduced Error
3898.4,0.10863,142.84,19.237,0.11467,0.052683,0.23097,0.15425,0.073372,0.12308,0.14915,0.1109,1.0585,2.0675929979987444
2224.4,0.1445,142.59,19.453,0.1163,0.050348,0.52695,0.1568,0.080119,0.12547,0.15874,0.12464,0.87873,2.2180861363075826
3059.9,0.12273,144.3,19.665,0.11541,0.051424,0.47087,0.15539,0.076599,0.12405,0.15379,0.11671,0.96825,2.232493155904484
3161.2,0.1196,141.92,19.674,0.11547,0.051514,0.46974,0.15524,0.076317,0.1239,0.1532,0.11486,0.97348,2.233725458872487
3035.5,0.12201,138.72,19.86,0.11586,0.051203,0.48473,0.15528,0.076976,0.12415,0.15393,0.1142,0.96796,2.2442917622427587
3548.2,0.10932,131.03,18.974,0.116,0.052047,0.34548,0.15465,0.075527,0.1232,0.15078,0.10751,1.1194,2.244556331520074
3224.1,0.11738,147.12,19.617,0.11475,0.05181,0.40794,0.15532,0.075743,0.12382,0.15286,0.11721,1.0697,2.2692023419468024
3034.4,0.12514,139.72,19.859,0.11614,0.051198,0.50445,0.15522,0.076948,0.12416,0.15398,0.1144,0.98587,2.2823600447809778
2877.9,0.12509,147.71,19.476,0.11498,0.051336,0.49205,0.15579,0.077188,0.12424,0.15475,0.12022,1.0027,2.293281834618076
2373.7,0.1387,145.61,19.081,0.11578,0.0507,0.58633,0.15669,0.079399,0.12487,0.15766,0.12436,0.91146,2.3072483641749546
