Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g238),Error (g39),Error (g138),Error (g243),Error (g164),Error (g50),Error (curve),Error (g185),Error (g223),Reduced Error
600.83,0.63173,140.58,8.6565,0.15993,0.11877,0.12596,0.057508,0.13948,0.12323,0.48901,0.070269,0.31359,1.597737942052648
590.32,0.62246,141.32,8.2041,0.16056,0.11802,0.1274,0.058315,0.1386,0.12652,0.59788,0.069713,0.2458,1.6428070191793833
598.9,0.6335,140.76,8.8531,0.15978,0.11895,0.12534,0.057169,0.13982,0.12247,0.48298,0.070416,0.36895,1.6458722969650716
610.14,0.6219,143.78,8.4612,0.16015,0.11837,0.12649,0.05782,0.13899,0.12479,0.56585,0.069921,0.29685,1.6592348967981152
602.25,0.62437,141.08,8.8556,0.15982,0.11889,0.12532,0.057162,0.13983,0.12268,0.49458,0.07042,0.37418,1.6628731803539472
601.52,0.62171,141.68,8.8134,0.15989,0.11878,0.12539,0.057226,0.13974,0.12315,0.50898,0.070368,0.36721,1.670734778190582
601.52,0.62165,142.7,8.8043,0.15993,0.11871,0.12536,0.057224,0.13969,0.12346,0.50518,0.070308,0.37592,1.6757919347311718
601.31,0.62305,140.79,8.8602,0.15983,0.11889,0.12531,0.057158,0.13985,0.12268,0.51134,0.070445,0.37215,1.6776552520192918
602.31,0.62418,141.56,8.892,0.1598,0.11889,0.12519,0.057091,0.13988,0.12265,0.49035,0.070424,0.39462,1.6789012550011468
602.3,0.62458,141.65,8.898,0.15979,0.1189,0.12517,0.057079,0.13989,0.12263,0.4882,0.070422,0.39819,1.680262561858061
