Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g59),Error (g63),Error (g86),Error (curve),Error (g237),Error (g303),Reduced Error
1192.4,0.20648,123.95,12.748,0.064193,0.12868,0.055674,0.13944,0.085995,0.068988,0.5429648958302762
1188.3,0.20771,123.53,12.715,0.064202,0.12871,0.055671,0.14053,0.085991,0.068997,0.5440962635864055
1164.2,0.21154,123.87,12.542,0.06426,0.12862,0.055663,0.14074,0.086192,0.068743,0.5442217417210079
1190.5,0.20761,123.79,12.783,0.064174,0.12871,0.055677,0.1408,0.085947,0.069049,0.5443631037138219
1164.9,0.21148,123.86,12.513,0.064269,0.12861,0.055661,0.14138,0.086211,0.068718,0.5448525532912643
1164.4,0.21089,123.92,12.594,0.064247,0.12862,0.055667,0.1415,0.086171,0.068775,0.5449742828361602
1170.1,0.21085,123.86,12.534,0.06426,0.12863,0.055662,0.14179,0.086176,0.068758,0.5452726581831939
1188.5,0.20771,123.49,12.49,0.064278,0.12866,0.055653,0.14251,0.086145,0.068791,0.5460294542950582
1158.7,0.21227,124.68,12.653,0.064218,0.12858,0.055675,0.14264,0.086176,0.06876,0.5460579937658059
1206.2,0.20311,123.75,12.596,0.064258,0.12864,0.055658,0.14323,0.086084,0.068869,0.5467338753080746
