Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (g303),Error (g237),Error (curve),Error (g86),Error (g59),Reduced Error
781.82,0.33994,120.94,11.904,0.1286,0.06823,0.086704,0.18292,0.055465,0.064486,0.5864081575794531
787.12,0.33766,120.59,11.925,0.12866,0.068275,0.086667,0.18637,0.055472,0.064472,0.5899139747053543
807.26,0.32958,120.73,11.99,0.12882,0.068361,0.086605,0.18663,0.055518,0.064397,0.5903327761260236
807.08,0.33091,120.54,11.822,0.12877,0.068284,0.08667,0.189,0.055498,0.064476,0.592698703460479
768.46,0.3511,121.06,11.888,0.12852,0.068191,0.086732,0.18959,0.055435,0.064486,0.5929580713651194
786.27,0.34327,120.97,9.2447,0.12741,0.065672,0.089113,0.19401,0.054924,0.066235,0.5973611934624574
800.64,0.33994,119.06,12.359,0.12898,0.06867,0.086331,0.19498,0.055515,0.064198,0.5986730729071972
786.27,0.34409,120.98,9.248,0.12742,0.065679,0.089107,0.19621,0.054924,0.066226,0.5995573734275944
784.27,0.34282,121.72,9.2776,0.12739,0.065669,0.089114,0.19624,0.054947,0.066207,0.5995629650762743
786.66,0.34337,121.11,9.2212,0.12741,0.065637,0.08915,0.19678,0.054919,0.06625,0.6001417682951561
