Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g56),Error (g126),Error (g223),Error (g237),Error (g80),Error (g72),Error (g51),Error (g262),Reduced Error
1891.2,0.13718,126.88,4.1126,0.3158,0.070089,0.038588,0.14213,0.11211,0.2469,0.10583,0.14354,0.11251,1.2874852780191355
1891.2,0.13733,126.89,4.0661,0.31418,0.071173,0.03898,0.14248,0.11267,0.24662,0.10652,0.14405,0.11252,1.2891940554724042
1862.2,0.13953,126.89,4.0679,0.31737,0.071099,0.038973,0.14253,0.11266,0.24661,0.10635,0.14401,0.1125,1.2921037001471647
1897.4,0.13741,126.57,4.0479,0.31756,0.071617,0.039137,0.14262,0.11291,0.2465,0.10677,0.14427,0.11252,1.2939087517992771
1848.6,0.14048,126.9,4.0794,0.32136,0.070831,0.038873,0.14247,0.11251,0.24668,0.10612,0.14387,0.1125,1.2952079076459204
1859.7,0.14045,126.84,4.0509,0.31977,0.0715,0.039129,0.14268,0.11289,0.24649,0.10655,0.14421,0.11249,1.2957055146671603
1849.0,0.14172,126.56,4.0531,0.32252,0.071441,0.039091,0.14269,0.11285,0.2465,0.10651,0.14418,0.11248,1.29825796117988
1888.5,0.13618,126.96,4.0626,0.32368,0.071217,0.039032,0.1425,0.11272,0.2466,0.1065,0.14408,0.11253,1.2988545170751649
1848.9,0.14186,126.18,4.0542,0.3232,0.071418,0.039059,0.14268,0.11282,0.24652,0.10651,0.14416,0.11248,1.2988598958053899
1868.7,0.13994,125.23,4.1137,0.32756,0.070078,0.03852,0.14217,0.11206,0.24691,0.10581,0.14353,0.11249,1.2991354294691304
