Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g262),Error (g287),Error (g72),Error (curve),Error (g207),Error (g95),Error (g101),Error (g240),Reduced Error
321.27,200.13,73.175,10.309,0.048485,0.14038,0.11138,0.10689,0.21116,0.042105,0.13369,0.029088,0.22196,1.0451314535305103
331.31,195.17,72.195,9.5691,0.048365,0.13938,0.1111,0.10628,0.21427,0.043727,0.13328,0.029352,0.22138,1.0471363546029477
324.35,207.97,73.125,9.927,0.048393,0.13979,0.11123,0.10654,0.21617,0.043101,0.13359,0.029089,0.2216,1.0495057922725233
321.27,210.87,73.175,10.309,0.048438,0.14032,0.11134,0.10687,0.21689,0.042304,0.13381,0.028948,0.22188,1.0508007570225208
323.37,196.2,72.804,10.121,0.048462,0.1402,0.11131,0.10673,0.21759,0.042428,0.13357,0.029197,0.22184,1.0513256333332748
323.61,199.96,72.41,10.303,0.048382,0.14048,0.11137,0.10689,0.21815,0.042126,0.13371,0.029088,0.22195,1.052143435063615
325.44,196.91,72.423,10.354,0.048379,0.14059,0.11139,0.10694,0.22202,0.041962,0.1337,0.029129,0.222,1.0561201366984285
319.59,219.49,72.44,10.414,0.048351,0.14052,0.11132,0.10696,0.22291,0.042205,0.13401,0.028798,0.22193,1.056989693582325
319.44,219.07,72.897,10.456,0.048386,0.14054,0.11134,0.10699,0.22562,0.042107,0.13401,0.028787,0.22196,1.0597327997077999
319.34,219.32,72.474,10.332,0.048369,0.14038,0.1113,0.10689,0.22774,0.04239,0.13396,0.028828,0.22187,1.0617240367140552
