Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
419.82,0.63922,104.2,15.624,3.6958e-06,0.063701,0.088073,0.055667,0.12619,0.066079,0.37256,0.7722725548495266
426.99,0.61488,105.16,15.809,3.6265e-06,0.063681,0.088135,0.055662,0.12624,0.06607,0.3767,0.776488905970737
424.57,0.61521,104.11,15.548,3.3961e-06,0.063791,0.087919,0.055642,0.12614,0.066241,0.37704,0.7767750030708844
428.28,0.61584,102.95,15.628,3.397e-06,0.063789,0.087743,0.055615,0.12617,0.066416,0.37955,0.7792806960021973
423.87,0.60759,105.4,15.551,3.4137e-06,0.063783,0.088101,0.055653,0.12614,0.066082,0.38002,0.7797864130505778
421.43,0.6152,103.54,15.314,3.5474e-06,0.063843,0.087983,0.055601,0.12619,0.066223,0.37998,0.7798161038850074
427.35,0.62206,106.77,15.812,3.9939e-06,0.063606,0.088378,0.055685,0.12633,0.065862,0.38097,0.780835257410623
430.53,0.62004,101.84,15.524,3.8595e-06,0.063765,0.087794,0.055552,0.12637,0.066463,0.3814,0.78134940919857
432.02,0.60681,103.67,15.537,3.404e-06,0.063809,0.087761,0.055604,0.12616,0.066414,0.38183,0.7815789451730193
415.87,0.64483,106.0,15.694,3.6755e-06,0.063647,0.08833,0.055727,0.12611,0.065795,0.38453,0.7841343235098357
