Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (g63),Error (g303),Error (g237),Error (curve),Error (g59),Reduced Error
405.89,0.75764,117.84,3.0731,0.062953,0.14284,0.057466,0.12969,0.48936,0.074978,0.9572828532693363
401.34,0.75863,121.44,3.1481,0.062157,0.14211,0.056823,0.12799,0.49578,0.074564,0.9594221958438285
403.92,0.79769,116.73,3.0819,0.062931,0.14274,0.057458,0.12962,0.50719,0.074931,0.9748693149520322
404.75,0.77693,115.75,2.9429,0.064644,0.14415,0.05907,0.13314,0.50374,0.075942,0.9806858108495141
408.8,0.7599,115.18,3.0824,0.062858,0.14282,0.057352,0.12946,0.51926,0.074869,0.9866198500325181
410.04,0.78698,116.88,3.0665,0.063123,0.14295,0.057603,0.12996,0.5281,0.074994,0.9967265913753632
416.0,0.79168,111.92,3.0646,0.06318,0.14311,0.057598,0.13002,0.53355,0.074915,1.0023629830870595
410.67,0.76498,115.54,2.8901,0.065412,0.14485,0.059831,0.13465,0.52646,0.07638,1.0075836722096998
423.55,0.73173,119.3,3.186,0.0618,0.14203,0.056424,0.12705,0.55084,0.074197,1.0123431763180564
421.5,0.7199,115.49,3.0839,0.062836,0.14296,0.057274,0.12932,0.55277,0.074773,1.019932994032283
