Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g72),Error (g101),Error (g95),Error (g240),Error (g207),Error (curve),Error (g262),Error (g287),Reduced Error
349.03,5.3171,72.691,4.2202,0.047118,0.098213,0.038986,0.13231,0.2208,0.068978,0.31982,0.12239,0.11314,1.1617538049533385
406.72,0.097565,83.672,2.7814,0.044126,0.098403,0.068588,0.13844,0.22381,0.092122,0.27692,0.11485,0.11592,1.1731887314041078
409.81,0.096274,82.362,2.831,0.044177,0.09821,0.067006,0.13811,0.2236,0.091124,0.2834,0.11503,0.11574,1.1763997043314318
408.22,0.097567,84.244,2.7212,0.044038,0.098556,0.070537,0.13886,0.22409,0.093416,0.28486,0.11466,0.1162,1.1852074786030886
406.33,3.0303,82.819,2.7773,0.04395,0.098494,0.068671,0.13856,0.22376,0.092186,0.30156,0.1149,0.11603,1.198109994214629
415.33,12.095,86.249,2.5021,0.043684,0.10022,0.078336,0.14066,0.22513,0.098546,0.2822,0.1143,0.11732,1.2003940032501448
415.3,12.048,86.277,2.5031,0.043684,0.10021,0.078302,0.14065,0.22512,0.098523,0.28232,0.1143,0.11732,1.2004358020657802
415.24,12.1,86.242,2.5094,0.043683,0.10014,0.078076,0.14061,0.22508,0.098375,0.28356,0.11431,0.11728,1.2011111130428216
415.31,12.164,86.698,2.5039,0.043683,0.10028,0.078345,0.14066,0.22512,0.098541,0.28669,0.1143,0.11732,1.2049435013435639
416.78,11.465,85.9,2.5022,0.04369,0.10014,0.078246,0.14064,0.22512,0.098506,0.2882,0.1143,0.11732,1.206156169246305
