Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g223),Error (g39),Error (g138),Error (g164),Error (g238),Error (g185),Error (g243),Error (g50),Reduced Error
3278.0,0.90465,13.087,16.85,0.59619,0.35429,0.10293,0.13605,0.1207,0.16919,0.062655,0.077593,0.15497,1.774561784870908
3418.3,0.90405,13.221,16.84,0.57027,0.6387,0.10327,0.1369,0.12016,0.16879,0.0622,0.077693,0.15298,2.0309507203511084
2998.7,0.92164,13.876,16.957,0.84275,0.58136,0.10191,0.13364,0.12373,0.16923,0.063611,0.076843,0.16274,2.2558032762135047
3185.0,0.84769,11.295,18.24,0.99826,0.52571,0.10331,0.13612,0.11749,0.17209,0.064374,0.079155,0.15204,2.3485471961025333
2801.6,0.98331,13.322,16.813,0.6392,0.87736,0.10167,0.13224,0.12436,0.16942,0.06469,0.076652,0.16369,2.3492848264991126
2906.8,0.98062,13.307,15.91,1.134,0.38896,0.10196,0.13314,0.12415,0.16861,0.063863,0.076347,0.16124,2.352243278041548
3339.9,0.97031,13.058,17.953,0.84469,0.87379,0.1032,0.13534,0.12002,0.16911,0.062909,0.078124,0.15283,2.5400194707516035
2924.8,0.82786,13.372,16.159,0.71159,1.0055,0.10171,0.13435,0.12347,0.17011,0.063787,0.076732,0.16419,2.551387087268944
2868.4,1.0058,12.684,16.778,0.83514,0.90678,0.10212,0.13285,0.12289,0.16949,0.064436,0.077043,0.15966,2.570416705966653
2477.6,1.0628,13.855,15.898,0.94903,0.78899,0.10066,0.13003,0.12846,0.1688,0.066672,0.07526,0.17174,2.5796218043467722
