Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g207),Error (g95),Error (g14),Error (g287),Error (g240),Error (g262),Error (g101),Error (curve),Error (g72),Reduced Error
331.85,805.72,85.944,2.5659,0.10492,0.14082,0.043096,0.11766,0.22249,0.11711,0.09195,0.39624,0.095517,1.329810472504837
332.13,804.37,85.829,2.566,0.10488,0.14081,0.043092,0.11764,0.22249,0.11712,0.091889,0.39851,0.095526,1.3319669805037948
330.33,805.92,85.851,2.5677,0.10491,0.14082,0.043117,0.11762,0.22248,0.11712,0.091934,0.39853,0.095501,1.3320318979983994
330.88,793.02,85.763,2.5132,0.10568,0.14101,0.043116,0.11791,0.2228,0.11708,0.093052,0.39603,0.095669,1.3323437122004564
332.2,803.57,86.504,2.5489,0.10522,0.14089,0.043083,0.11781,0.2226,0.11705,0.0924,0.39858,0.095551,1.3331755537359162
331.82,805.18,85.353,2.5644,0.10492,0.14082,0.04311,0.11761,0.2225,0.11716,0.091916,0.40112,0.095536,1.3346861493858215
332.05,803.89,85.264,2.5649,0.10487,0.14081,0.043106,0.11759,0.2225,0.11717,0.091851,0.40166,0.095543,1.3351025534348648
332.82,797.07,85.51,2.4964,0.10607,0.1411,0.043109,0.11806,0.22293,0.11707,0.093567,0.39788,0.095719,1.3354959740337935
332.72,806.12,85.995,2.569,0.10487,0.1408,0.043082,0.11765,0.22248,0.11711,0.091863,0.40313,0.095516,1.3365037013971386
331.43,816.25,85.549,2.5824,0.10482,0.14079,0.043116,0.11758,0.22241,0.11715,0.091769,0.40673,0.095463,1.3398331158605628
