Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g14),Error (g240),Error (g101),Error (g72),Error (g287),Error (g207),Error (g262),Error (g95),Reduced Error
3992.1,0.18254,161.15,2.3587,0.37471,0.04114,0.2258,0.096186,0.098993,0.12452,0.10946,0.11328,0.14461,1.3286973706121998
3913.1,0.17839,165.0,2.3699,0.37919,0.041266,0.2258,0.095774,0.099174,0.12422,0.10914,0.11327,0.14455,1.3323825773307478
3873.4,0.17816,163.24,2.345,0.38717,0.041401,0.22586,0.096033,0.099063,0.124,0.10931,0.11345,0.14457,1.340857205412622
3980.9,0.18307,158.06,2.3387,0.39334,0.041253,0.2258,0.096285,0.098649,0.12428,0.10953,0.11348,0.14456,1.3471778877853957
3879.0,0.1594,168.5,2.5237,0.40743,0.041525,0.22504,0.0909,0.099307,0.12259,0.10564,0.11317,0.14334,1.3489281262752717
3885.8,0.15892,168.64,2.5327,0.40851,0.041519,0.22499,0.090685,0.099342,0.12256,0.10548,0.11315,0.14329,1.3495232775021608
3914.6,0.17844,167.66,2.399,0.39823,0.041231,0.22571,0.095154,0.099248,0.12419,0.10871,0.11313,0.14444,1.3500476647789137
3918.5,0.17903,162.17,2.3785,0.41224,0.04138,0.22565,0.095052,0.098764,0.12381,0.10865,0.11342,0.1443,1.3632652051788168
3907.8,0.15883,167.77,2.5211,0.44291,0.041458,0.22507,0.091161,0.099239,0.12277,0.10583,0.11313,0.1434,1.3849611853772092
3753.7,0.17257,170.61,2.3547,0.43598,0.041547,0.22595,0.095773,0.099463,0.12372,0.10905,0.11338,0.14462,1.3894786811751085
