Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (g63),Error (g303),Error (g237),Error (curve),Error (g59),Reduced Error
872.54,0.32847,115.06,4.2015,0.056112,0.1361,0.054676,0.10967,0.39608,0.070308,0.8229452321825295
860.59,0.32936,116.2,4.2029,0.05612,0.136,0.054676,0.10973,0.39816,0.070354,0.825032704780682
872.02,0.33514,114.62,4.2075,0.056096,0.13613,0.05469,0.10956,0.39895,0.070248,0.8256725613534409
860.59,0.32936,116.2,4.1656,0.056202,0.13617,0.054593,0.11024,0.40009,0.070461,0.8277586176533309
882.08,0.32852,115.38,4.2093,0.056109,0.13608,0.05469,0.10956,0.40223,0.070271,0.8289474892043385
852.4,0.33557,116.31,4.289,0.055959,0.13565,0.054864,0.10868,0.40478,0.070129,0.8300653098997839
889.51,0.32673,115.1,4.2253,0.056077,0.13605,0.054728,0.10932,0.40427,0.070214,0.8306560826394497
856.53,0.32727,118.31,4.179,0.056199,0.13597,0.054618,0.11014,0.40325,0.070489,0.8306687741249406
872.91,0.32969,116.2,4.1798,0.056181,0.13616,0.054618,0.11002,0.40756,0.070389,0.8349301501778604
859.22,0.34276,114.2,4.1723,0.056167,0.13631,0.054608,0.11006,0.40781,0.070331,0.8352845254973337
