Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g59),Error (g63),Error (g303),Error (curve),Error (g86),Error (g237),Reduced Error
343.69,0.64778,97.233,8.7011,0.068996,0.1179,0.066283,0.43531,0.052617,0.085143,0.826244256393198
350.58,0.60012,97.149,8.8867,0.069046,0.11751,0.066543,0.44429,0.052617,0.084823,0.8348349785835004
350.58,0.60012,102.32,8.8867,0.06902,0.11734,0.066119,0.46792,0.052758,0.085212,0.8583662181840257
352.51,0.57435,102.34,8.9189,0.069078,0.1173,0.066152,0.48386,0.052751,0.085191,0.8743338300866457
342.14,0.6136,103.54,8.9864,0.069127,0.11656,0.066141,0.48562,0.052714,0.085076,0.875235704890161
340.33,0.63738,102.63,8.9273,0.069078,0.11688,0.066212,0.48896,0.052709,0.085023,0.8788611199649655
327.83,0.63741,99.054,8.8106,0.069303,0.11705,0.066403,0.48887,0.052526,0.084916,0.8790680954085448
349.85,0.60359,102.7,8.6995,0.068985,0.11799,0.065807,0.4979,0.052805,0.085669,0.8891496336495739
378.96,0.58822,99.294,8.531,0.068544,0.11937,0.065547,0.49926,0.052926,0.086161,0.8918063129029997
360.0,0.53494,101.72,9.2236,0.069142,0.11632,0.066491,0.50274,0.052716,0.084703,0.8921122523235101
