Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g126),Error (g237),Error (g56),Error (curve),Error (g80),Error (g262),Error (g72),Error (g223),Error (g51),Reduced Error
231.37,197.05,63.885,8.38,0.029145,0.088675,0.023805,0.29614,0.26287,0.11522,0.17848,0.1264,0.12237,1.2431216668647853
228.46,196.84,64.22,8.37,0.029181,0.088741,0.02374,0.30884,0.26284,0.11522,0.16644,0.12654,0.12246,1.244001373077951
230.91,198.46,63.721,8.3578,0.029139,0.088782,0.023861,0.29751,0.26285,0.11522,0.17945,0.12649,0.12243,1.2457266815902899
229.55,198.35,64.025,8.4222,0.029096,0.088723,0.023662,0.29989,0.26292,0.11526,0.17891,0.12649,0.1224,1.2473516967436735
232.27,197.89,64.048,8.323,0.029215,0.088732,0.023966,0.29418,0.2628,0.11518,0.18471,0.12639,0.12238,1.2475606083011623
228.66,198.44,64.558,8.4101,0.029161,0.088726,0.023652,0.31594,0.26288,0.11523,0.16314,0.12651,0.12241,1.24765442342225
229.74,196.51,64.144,8.3134,0.029241,0.088759,0.02391,0.30011,0.26277,0.11519,0.18128,0.1265,0.12246,1.250226395309431
228.58,197.18,64.183,8.3367,0.029209,0.088789,0.023825,0.30762,0.2628,0.11521,0.17592,0.12656,0.12249,1.2524155636132253
228.98,198.43,64.184,8.3418,0.029192,0.088818,0.023831,0.30008,0.26281,0.11521,0.18381,0.12656,0.12248,1.2527928659777052
232.19,198.83,64.22,8.386,0.029153,0.088683,0.023812,0.3113,0.26288,0.11521,0.17336,0.12636,0.12233,1.2530836164202306
