Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g59),Error (g63),Error (g237),Error (g303),Reduced Error
1347.5,0.19976,127.67,3.8965,0.056986,0.16467,0.070939,0.13653,0.11424,0.053964,0.5973308282811989
1339.6,0.19939,127.75,3.993,0.056703,0.16876,0.070676,0.1359,0.11278,0.05409,0.5989052482171905
1337.7,0.20336,127.74,3.9048,0.056974,0.20815,0.070865,0.13644,0.11407,0.053956,0.6404660042794807
1617.4,0.16188,126.16,4.1331,0.055917,0.21339,0.070734,0.13592,0.11078,0.05438,0.6411284611675393
1641.0,0.16018,125.16,4.2757,0.055606,0.22527,0.070424,0.13535,0.10899,0.054668,0.6503111176219196
1610.7,0.16217,126.06,4.25,0.0557,0.22492,0.070478,0.13539,0.10937,0.054613,0.6504641858971807
1636.5,0.16095,125.17,4.2824,0.055601,0.22571,0.070396,0.13532,0.10891,0.054686,0.6506211767028378
1609.4,0.16249,125.93,4.2557,0.055691,0.22541,0.070455,0.13537,0.10929,0.054628,0.6508386038823274
1641.5,0.1602,125.14,4.2821,0.055594,0.22605,0.070409,0.13532,0.10892,0.054683,0.6509720700137775
1641.1,0.16011,125.19,4.2874,0.055585,0.22679,0.070402,0.1353,0.10886,0.054695,0.6516300564674282
