Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g207),Error (g95),Error (g14),Error (g287),Error (g240),Error (g262),Error (g101),Error (curve),Error (g72),Reduced Error
315.72,791.22,88.806,2.4288,0.10674,0.1413,0.043441,0.11818,0.22332,0.11713,0.095245,0.24033,0.095839,1.18153260213359
315.49,790.89,88.883,2.4223,0.10687,0.14133,0.043448,0.11823,0.22336,0.11713,0.095422,0.23998,0.095854,1.1816320470601769
315.6,790.43,88.785,2.4228,0.10686,0.14133,0.043442,0.11823,0.22336,0.11712,0.0954,0.24006,0.095853,1.1816651817042687
315.57,790.82,88.777,2.4289,0.10674,0.1413,0.04344,0.11818,0.22332,0.11713,0.09524,0.24055,0.095838,1.1817443785610926
315.71,793.96,88.634,2.4345,0.10666,0.14127,0.043443,0.11814,0.22329,0.11715,0.095134,0.24089,0.095833,1.1818100248199384
316.8,796.32,88.248,2.4444,0.10649,0.14122,0.043425,0.11809,0.22323,0.11715,0.094881,0.24153,0.095818,1.1818269667112098
316.77,794.17,88.159,2.4433,0.10649,0.14123,0.043416,0.1181,0.22324,0.11714,0.094876,0.24168,0.095817,1.1819737430661068
319.78,793.27,88.18,2.4145,0.10706,0.14138,0.043396,0.11837,0.22344,0.11708,0.095604,0.23976,0.095898,1.1819837599787317
315.57,793.71,88.762,2.434,0.10667,0.14128,0.043447,0.11814,0.22329,0.11715,0.095147,0.24104,0.095832,1.1819867392598924
317.04,792.72,88.186,2.4431,0.10647,0.14123,0.04341,0.11811,0.22324,0.11712,0.094851,0.24179,0.095815,1.1820410741559058
