iteration,cp_lh_0,cp_lh_1,cp_lh_2,cp_lh_3,cp_lh_4,cp_lh_5,cp_tau_0,cp_n,stress_error,geodesic_error,reduced_error
1,19.821,13.682,144.97,216.56,2.6962,68.794,32.167,18.749,0.5846188045488226,0.24052097206839348,0.6611790077927276
2,99.517,283.61,133.62,233.7,97.304,14.503,111.29,18.334,0.2602457116424289,0.15645483329412627,0.31004683182118614
3,131.39,0.34424,174.58,223.75,90.76,0.78956,27.132,17.265,0.5892620083388527,0.18488430838319422,0.6481125114974761
4,181.07,174.36,148.34,963.03,4.0863,11.419,111.65,14.436,0.3100174809856317,0.17473962326664771,0.3656388305794368
5,114.43,223.26,138.22,211.05,155.06,10.06,65.974,18.597,0.16805291936027497,0.1680847444048296,0.22155595522100782
6,114.3,225.96,140.2,229.67,156.32,38.954,72.37,18.197,0.10883614153752079,0.15377420654970764,0.15778399172236096
7,574.68,323.91,40.524,236.41,156.4,114.81,68.555,11.417,0.030737828265402837,0.10092491032339708,0.06286322498355264
8,591.73,324.39,41.325,234.41,169.49,116.99,58.741,10.737,0.048628208852195175,0.10171766303256244,0.08100594659497129
9,583.29,384.88,32.167,251.05,269.98,260.5,60.887,11.732,0.10196157803428743,0.10145338021035137,0.13425519194200522
10,564.47,514.72,41.455,235.62,195.84,142.1,60.811,12.87,0.06498164058205544,0.09987683152175539,0.09677342345614304
11,569.7,406.65,45.996,240.45,116.28,120.56,63.132,11.648,0.015391815515022951,0.10044491485510983,0.047364424930293504
12,576.67,397.33,44.948,243.15,152.82,242.02,62.091,11.824,0.046549067422314974,0.1006879534063459,0.07859903841116775
13,515.93,377.02,120.47,210.1,52.901,160.61,64.332,11.001,0.025563098319041685,0.09931876973207605,0.057177244608372924
