Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (curve),Error (g237),Error (g86),Error (g303),Error (g59),Error (g63),Reduced Error
102.89,2.4214,44.338,10.093,5.4052e-06,0.225,0.043141,0.021983,0.028871,0.028243,0.26625,0.10224797545606405
101.26,2.4005,43.37,10.083,4.8448e-06,0.22579,0.043184,0.022041,0.028862,0.028231,0.26642,0.10242038387323499
103.0,2.531,44.612,10.079,5.5348e-06,0.22841,0.04306,0.02188,0.028891,0.02826,0.26607,0.10276207000822811
97.324,2.3019,43.674,9.6724,5.0736e-06,0.2302,0.043464,0.022034,0.028795,0.028346,0.26577,0.10310083653522528
103.86,3.0349,44.818,10.055,5.6445e-06,0.24586,0.042663,0.02151,0.028995,0.028291,0.26577,0.10551422099911467
92.445,2.3091,44.585,10.054,5.5828e-06,0.24751,0.043711,0.022083,0.028788,0.028355,0.26501,0.10590904263494878
105.68,3.1592,44.307,9.9982,5.4043e-06,0.2564,0.042478,0.021439,0.029039,0.028277,0.26607,0.10728341994772177
101.99,2.4086,43.812,10.134,5.4399e-06,0.26528,0.043148,0.022008,0.028871,0.02824,0.26639,0.108988446785427
107.56,0.25656,50.968,15.739,4.7202e-06,0.25819,0.045626,0.026983,0.028981,0.027214,0.27341,0.11006762416068643
80.753,2.4247,45.11,10.082,5.3357e-06,0.27446,0.044206,0.022022,0.028747,0.028477,0.2631,0.1101689351348777
