Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g95),Error (g14),Error (g262),Error (g287),Error (g72),Error (g101),Error (g240),Error (g207),Reduced Error
0.037749,5.2889e-08,960.73,517.26,182.77,828.74,80.731,3.0653,0.28422,0.13629,0.042565,0.11747,0.1151,0.093688,0.056843,0.22707,0.078623,1.1518621295245228
0.037467,5.3125e-08,960.48,517.33,182.77,827.32,80.73,3.0779,0.29067,0.13631,0.042642,0.11751,0.11503,0.093653,0.056582,0.22704,0.078417,1.157862844451179
0.075822,5.274e-08,960.46,516.84,182.14,827.32,80.728,3.0855,0.29234,0.13604,0.042445,0.11751,0.11535,0.093551,0.057205,0.22677,0.079166,1.1603912359015962
0.07487,5.2772e-08,961.26,516.82,178.24,827.62,80.38,3.1026,0.29331,0.13612,0.042577,0.1176,0.11522,0.093387,0.056828,0.22679,0.078861,1.1607103783220005
0.038148,9.3073e-08,960.65,516.63,182.78,828.68,82.105,3.0659,0.29334,0.13622,0.042552,0.11738,0.11517,0.093736,0.05768,0.2273,0.079185,1.1625780737555707
0.050575,5.2856e-08,984.65,520.14,183.19,828.6,80.641,3.0838,0.30353,0.13617,0.042474,0.11745,0.11532,0.093694,0.056933,0.22707,0.078789,1.171425605761945
0.17862,5.2847e-07,881.72,518.89,183.36,827.81,80.362,3.1681,0.31291,0.13571,0.043092,0.11824,0.11495,0.093518,0.058179,0.22635,0.080357,1.18331406816338
0.13164,5.2135e-07,869.51,483.9,180.23,822.81,80.472,3.0847,0.31494,0.13585,0.043152,0.11808,0.11467,0.093463,0.059054,0.22664,0.080687,1.18653730387991
0.17546,5.2791e-07,882.43,518.83,183.34,827.77,80.723,3.1676,0.32005,0.13571,0.043075,0.1182,0.11496,0.093519,0.058226,0.22636,0.080378,1.1904739710739944
0.4112,4.645e-08,976.09,517.21,176.62,820.7,76.158,3.1373,0.32401,0.13559,0.042318,0.11816,0.11583,0.093393,0.058069,0.22612,0.080534,1.1940228262941104
