Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g14),Error (g240),Error (g101),Error (g72),Error (g287),Error (g207),Error (g262),Error (g95),Reduced Error
3435.5,0.10312,159.97,3.5981,0.37635,0.044469,0.22014,0.057273,0.096929,0.11307,0.081393,0.11965,0.13619,1.2454575684895344
3436.2,0.10313,159.95,3.5981,0.37639,0.044468,0.22014,0.057274,0.09693,0.11307,0.081394,0.11965,0.13619,1.2455010825926038
3447.6,0.10306,159.76,3.5946,0.37891,0.044458,0.22015,0.057358,0.096949,0.1131,0.081466,0.11964,0.13619,1.2482218573910258
3446.6,0.10274,159.78,3.5921,0.37935,0.04445,0.22016,0.057408,0.096949,0.11311,0.081498,0.11961,0.1362,1.2487285796977103
3412.2,0.10356,161.11,3.6094,0.38066,0.044478,0.2201,0.057063,0.09692,0.11303,0.081232,0.11965,0.13619,1.2493279281635397
3437.6,0.10303,159.49,3.5845,0.37999,0.04446,0.22017,0.057505,0.096934,0.11308,0.08156,0.11961,0.13621,1.2495173670488415
3417.6,0.10428,159.97,3.5774,0.38197,0.044471,0.22017,0.057612,0.096893,0.11304,0.081624,0.11959,0.13624,1.2516154781064224
3435.5,0.1026,161.18,3.5943,0.38278,0.044418,0.22013,0.057444,0.096936,0.11315,0.081502,0.11953,0.13622,1.2521149202052966
3434.0,0.10266,160.58,3.5828,0.38248,0.044422,0.22016,0.057615,0.096935,0.11314,0.081626,0.11951,0.13624,1.2521228699859641
3439.7,0.1026,161.17,3.5941,0.38366,0.044414,0.22013,0.057458,0.096943,0.11316,0.081516,0.11953,0.13622,1.2530353297820989
