Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g237),Error (g72),Error (g56),Error (g126),Error (g51),Error (g223),Error (g80),Error (curve),Reduced Error
1976.2,0.13633,136.63,4.1243,0.1124,0.11215,0.10939,0.070294,0.03945,0.14409,0.14253,0.24695,0.36672,1.343971517806787
1976.5,0.13681,135.48,4.1225,0.1124,0.11213,0.10934,0.07031,0.039402,0.14409,0.14252,0.24696,0.36687,1.3440295697841944
1972.7,0.13627,136.65,4.1175,0.1124,0.11223,0.10939,0.070394,0.039483,0.14415,0.14257,0.24691,0.36769,1.3452224909080672
1976.7,0.1364,135.73,4.104,0.11239,0.1124,0.10935,0.070648,0.039565,0.14429,0.14267,0.24682,0.36877,1.3469030952982621
1976.2,0.13615,139.84,4.1643,0.11239,0.11176,0.10947,0.069645,0.039309,0.14373,0.14231,0.24715,0.37192,1.347692166117078
1974.6,0.13911,133.94,4.1224,0.11241,0.11204,0.10919,0.070322,0.03929,0.14407,0.14246,0.247,0.37283,1.3496178534691992
1976.8,0.1396,140.31,4.2125,0.1124,0.11115,0.10918,0.068909,0.038952,0.14326,0.14195,0.24745,0.37753,1.350786493403925
1948.2,0.13579,139.69,4.1438,0.11246,0.11183,0.10952,0.069792,0.039286,0.1439,0.14236,0.24711,0.37459,1.3508553864540147
1976.2,0.13633,133.94,4.0946,0.1124,0.11245,0.10931,0.070763,0.039544,0.14436,0.14271,0.2468,0.37282,1.3511535934655474
1976.2,0.13771,133.54,4.1299,0.11242,0.11194,0.10926,0.070138,0.039233,0.14399,0.14241,0.24706,0.37487,1.3513289136821434
