Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (g63),Error (g59),Error (curve),Error (g86),Reduced Error
83.421,9.3731,132.23,2.8087,0.11549,0.053393,0.13403,0.077606,1.3819,0.056884,1.8192941346089289
83.415,9.3817,132.23,2.7894,0.11569,0.053385,0.13423,0.077634,1.3833,0.056976,1.82120960846266
83.358,9.8992,131.39,2.7893,0.1158,0.053434,0.13446,0.077626,1.3829,0.057048,1.8212182636692014
83.82,8.9609,132.01,2.808,0.11529,0.053341,0.13386,0.077642,1.3844,0.056797,1.8213155653465003
83.774,9.8744,131.64,2.8095,0.11558,0.053435,0.13425,0.077561,1.3842,0.056961,1.8220228874230653
83.54,9.3729,132.64,2.8014,0.11561,0.053391,0.13409,0.077597,1.3855,0.056935,1.8231091693865302
83.769,9.883,131.64,2.7901,0.11579,0.053426,0.13445,0.077595,1.3871,0.057051,1.8254074304769456
83.887,9.4455,129.84,2.8366,0.11498,0.053394,0.13381,0.077645,1.3898,0.056683,1.8262967520557514
85.373,9.3706,132.09,2.9012,0.11441,0.053424,0.13322,0.077355,1.3915,0.056502,1.8263902824424212
83.581,9.0802,132.91,2.7833,0.1157,0.053353,0.13417,0.077634,1.389,0.056977,1.8268655887973475
