Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g95),Error (g14),Error (g262),Error (g287),Error (g72),Error (g101),Error (g240),Error (g207),Reduced Error
0.020036,8.2175e-07,732.71,507.52,184.7,799.52,80.605,3.4559,0.22047,0.13592,0.045639,0.11955,0.1133,0.093922,0.04995,0.22461,0.074994,1.0783572735531455
0.020012,8.2177e-07,733.71,506.8,183.81,799.52,80.622,3.4555,0.2218,0.13594,0.045658,0.11955,0.11329,0.093936,0.049946,0.22465,0.074958,1.0797313723743107
0.018788,8.2522e-07,732.72,507.31,184.7,799.52,81.165,3.4561,0.22289,0.13591,0.045633,0.11952,0.11329,0.093949,0.049965,0.22461,0.074997,1.0807604233945824
0.020039,8.2202e-07,732.59,507.52,185.25,795.44,81.15,3.4051,0.22215,0.13582,0.045289,0.11927,0.11345,0.093961,0.0509,0.22476,0.075815,1.0814040557129314
0.020088,8.2539e-07,743.91,507.44,184.74,799.59,80.58,3.4509,0.22749,0.13598,0.045614,0.11951,0.1133,0.093974,0.050045,0.22476,0.074893,1.085572461369506
0.020041,8.3342e-07,736.89,512.16,185.76,814.23,81.152,3.405,0.22574,0.13572,0.045276,0.11929,0.11365,0.093774,0.051134,0.22476,0.076239,1.0855810882294246
0.020087,8.2523e-07,744.03,507.15,184.69,798.6,80.538,3.4515,0.22803,0.13599,0.045619,0.11952,0.11328,0.093987,0.05002,0.22476,0.074849,1.086060353718587
0.02023,8.148e-07,740.57,504.3,185.34,804.39,80.997,3.4179,0.22703,0.13586,0.045456,0.11936,0.11344,0.093881,0.050683,0.22482,0.075581,1.0861191870096123
0.020093,8.249e-07,744.09,507.47,184.74,799.54,80.468,3.4514,0.22826,0.13599,0.045619,0.11952,0.11329,0.09397,0.050029,0.22476,0.074874,1.0863167423634905
0.020091,8.245e-07,744.12,503.7,181.86,796.29,80.466,3.4504,0.22831,0.13606,0.045672,0.11953,0.11323,0.094021,0.049959,0.22483,0.074717,1.0863350187394265
