Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1982.4,0.19087,154.4,3.0176,0.11768,0.097817,0.089854,0.069026,0.11484,0.26151,0.13765,0.22169,0.043861,1.1539229714567991
1972.2,0.19237,154.42,3.0182,0.11768,0.097827,0.089903,0.069096,0.11486,0.26467,0.13766,0.2217,0.04385,1.1572392987789653
1974.5,0.19413,154.15,3.2158,0.11824,0.097872,0.086917,0.064875,0.11436,0.2751,0.13695,0.22115,0.044043,1.1595075427319526
1973.9,0.19194,153.23,2.945,0.11753,0.097783,0.091056,0.07064,0.11507,0.26844,0.13793,0.22192,0.043792,1.1641562884920706
1972.1,0.19444,152.41,3.0674,0.11787,0.09787,0.08913,0.067974,0.11473,0.27651,0.13745,0.22156,0.043896,1.1669894155122125
1985.1,0.18908,155.43,3.3956,0.11888,0.097579,0.084259,0.060957,0.11399,0.2903,0.13638,0.22074,0.044248,1.1673391028716733
1972.4,0.19322,153.14,2.8898,0.11742,0.097801,0.092049,0.071981,0.11526,0.27126,0.13818,0.22212,0.043716,1.1697795212329851
1971.9,0.19674,152.13,3.1679,0.11816,0.097905,0.087657,0.065866,0.1145,0.28424,0.1371,0.22129,0.043982,1.1706933293108324
1973.9,0.19214,153.43,3.0566,0.11781,0.097837,0.089253,0.068193,0.11473,0.27997,0.1375,0.22158,0.043896,1.1707639707523523
1975.6,0.19283,152.34,2.895,0.11745,0.097792,0.091928,0.071796,0.11523,0.27593,0.13814,0.2221,0.043728,1.1741042772479726
