Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (curve),Error (g14),Error (g95),Error (g240),Error (g72),Error (g287),Error (g101),Error (g207),Reduced Error
264.32,54.347,552.44,820.76,571.25,978.76,484.52,2.4071,0.12095,0.47705,0.040452,0.13936,0.2224,0.099841,0.10987,0.062096,0.049414,1.3214322908648894
234.72,52.652,509.73,819.35,568.61,887.58,494.33,2.6499,0.1214,0.538,0.040967,0.13873,0.22175,0.10194,0.10902,0.060621,0.04898,1.3814028593386964
303.46,47.44,520.71,816.81,573.68,998.01,499.47,2.1981,0.11963,0.54711,0.039697,0.13836,0.22276,0.098872,0.11151,0.066628,0.052165,1.3967396707065802
161.29,98.353,504.74,826.26,572.54,522.36,455.73,1.7922,0.13721,0.52867,0.047733,0.16849,0.22081,0.13139,0.09349,0.043557,0.035768,1.4071280853869508
164.28,98.4,504.39,824.95,580.12,513.56,456.64,1.716,0.13755,0.52554,0.047751,0.16975,0.221,0.13748,0.09326,0.043774,0.035758,1.4118530589619467
163.13,99.36,510.18,817.83,579.75,518.99,457.54,1.7392,0.13731,0.53399,0.047732,0.1693,0.22097,0.13323,0.093409,0.043682,0.035798,1.4154097509239039
410.86,49.058,552.93,819.93,581.92,998.37,493.76,2.4251,0.11857,0.56865,0.039271,0.13697,0.22237,0.098842,0.11287,0.068807,0.053943,1.420297076141159
160.86,53.548,555.55,825.02,573.9,915.79,495.88,1.6354,0.12444,0.59365,0.042346,0.14764,0.22369,0.10065,0.10575,0.056706,0.044638,1.4395054317081055
227.46,53.038,509.98,820.13,571.45,869.63,495.88,2.7269,0.12159,0.59754,0.041129,0.13866,0.2216,0.10306,0.10876,0.059978,0.048771,1.4410936392748452
258.01,44.54,547.24,820.85,575.3,989.85,495.87,2.1158,0.12048,0.59827,0.03966,0.13914,0.22333,0.09906,0.11109,0.065599,0.051158,1.4477894595548988
