Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1343.0,0.19297,124.49,4.9903,0.056963,0.13323,0.21118,0.10167,0.069273,0.054878,0.6271938039030884
1342.9,0.19312,123.91,5.0637,0.05724,0.13301,0.21222,0.10104,0.069202,0.054801,0.6275166254078073
1342.3,0.19303,123.92,5.0641,0.057241,0.13301,0.21255,0.10104,0.069203,0.054801,0.6278442373899594
1343.0,0.19477,123.79,5.0064,0.057029,0.13325,0.21199,0.1015,0.069232,0.054852,0.6278556598904058
1343.5,0.1924,124.85,5.0065,0.057018,0.13315,0.21213,0.10155,0.069269,0.054865,0.6279714533884146
1343.4,0.19343,124.64,5.0234,0.057082,0.13312,0.21236,0.10139,0.069242,0.054844,0.6280446967344353
1343.5,0.19239,124.95,4.9611,0.056853,0.13329,0.21189,0.10193,0.06931,0.054912,0.6281895853043751
1342.9,0.19299,124.1,4.9956,0.056986,0.13323,0.21226,0.10161,0.069263,0.054869,0.6282152447269614
1352.2,0.1928,123.88,5.0613,0.057235,0.13305,0.21339,0.10105,0.06919,0.054799,0.6287168535194216
1339.8,0.19259,124.68,5.0167,0.057056,0.13311,0.21301,0.10146,0.069263,0.054855,0.6287524930894286
